Comune;Provincia;Regione;Intervento;Lotto;Norma di riferimento;Tipo di dissesto;Posizione;Denominazione;Localit�;Ente attuatore;Comune primario;Importo finanziato;Nota importo finanziato;Importo lotto;Fase di attuazione;;;;;;;;;;;;;;;;
BRICHERASIO;CITTA' METROPOLITANA DI TORINO;Piemonte;TO170A/10;1;AP 2010-11;Frana;Georiferito;SISTEMAZIONE FRANE LOC. STRADA S. CATERINA, STRADA CUCCIA, STRADA CUCCIA-BRIC A SEGUITO DELL EVENTO CALAMITOSO DEL NOVEMBRE-DICEMBRE 2008 E DELLAAPRILE 2009 (OPERE DI CONSOLIDAMENTO ATTIVO E REGIMAZIONE ACQUE);VARIE;Commissario Straordinario - attuazione interventi Regione Piemonte;BRICHERASIO;60000.00;;60000.00;concluso;;;;;;;;;;;;;;;;
BRUSASCO;CITTA' METROPOLITANA DI TORINO;Piemonte;TO171A/10;1;AP 2010-11;Frana;Centroide;SISTEMAZIONE FRANA LOC. STRADA TAMLINO A SEGUITO DELLiEVENTO CALAMITOSO DEL NOVEMBRE-DICEMBRE 2008   (OPERE DI CONSOLIDAMENTO ATTIVO E REGIMAZIONE ACQUE);TAMLINO;Commissario Straordinario - attuazione interventi Regione Piemonte;BRUSASCO;165000.00;;165000.00;in esecuzione;;;;;;;;;;;;;;;;
BRUZOLO;CITTA' METROPOLITANA DI TORINO;Piemonte;TO172A/10;1;AP 2010-11;Frana;Georiferito;SISTEMAZIONE FRANA LOC. STRADA BRUZOLO-LEITERA-S. DIDERO E STRADA DELLA MONTAGNAA SEGUITO DELL2EVENTO CALAMITOSO DELLIAPRILE 2009 (OPERE DI CONSOLIDAMENTO ATTIVO E REGIMAZIONE ACQUE);VARIE;Commissario Straordinario - attuazione interventi Regione Piemonte;BRUZOLO;120000.00;;120000.00;concluso;;;;;;;;;;;;;;;;
CAREMA;CITTA' METROPOLITANA DI TORINO;Piemonte;TO173A/10;1;AP 2010-11;Frana;Centroide;INTERVENTI SUL VERSANTE A MONTE ABITATO  (REALIZZAZIONE DI: RETI PARAMASSI, PANNELLI IN FUNE DEACCIAIO, TIRANTATURE);CENTRO ABITATO;Commissario Straordinario - attuazione interventi Regione Piemonte;CAREMA;200000.00;;200000.00;concluso;;;;;;;;;;;;;;;;
CASALBORGONE;CITTA' METROPOLITANA DI TORINO;Piemonte;TO175A/10;1;AP 2010-11;Frana;Georiferito;SISTEMAZIONI IDROGEOLOGICHE LOCALITAn VARIE A SEGUITO DEGLI EVENTI CALAMITOSI DEL NOVEMBRE-DICEMBRE 2008 E DELL APRILE 2009 (OPERE DI CONSOLIDAMENTO ATTIVO E REGIMAZIONE ACQUE);VARIE;Commissario Straordinario - attuazione interventi Regione Piemonte;CASALBORGONE;135000.00;;135000.00;concluso;;;;;;;;;;;;;;;;
CASTAGNETO PO;CITTA' METROPOLITANA DI TORINO;Piemonte;TO176A/10;1;AP 2010-11;Frana;Centroide;SISTEMAZIONE FRANA VIA RIVALBA PRESSO CIVICO 9 A SEGUITO DEGLI EVENTI CALAMITOSI DEL NOVEMBRE-DICEMBRE 2008 E DELLRAPRILE 2009 (OPERE DI CONSOLIDAMENTO ATTIVO E REGIMAZIONE ACQUE);VIA RIVALBA;Commissario Straordinario - attuazione interventi Regione Piemonte;CASTAGNETO PO;155000.00;;0.00;in progettazione;;;;;;;;;;;;;;;;
CASTELLAMONTE;CITTA' METROPOLITANA DI TORINO;Piemonte;TO177A/10;1;AP 2010-11;Frana;Centroide;SISTEMAZIONI IDROGEOLOGICHE LOCALITAn VARIE A SEGUITO DEGLI EVENTI CALAMITOSI DEL NOVEMBRE-DICEMBRE 2008 E DELLEAPRILE 2009 (OPERE DI CONSOLIDAMENTO ATTIVO E REGIMAZIONE ACQUE);VARIE;Commissario Straordinario - attuazione interventi Regione Piemonte;CASTELLAMONTE;260000.00;;260000.00;concluso;;;;;;;;;;;;;;;;
CAVAGNOLO;CITTA' METROPOLITANA DI TORINO;Piemonte;TO178A/10;1;AP 2010-11;Frana;Georiferito;SISTEMAZIONI IDROGEOLOGICHE LOCALITAn VARIE A SEGUITO DEGLI EVENTI CALAMITOSI DEL NOVEMBRE-DICEMBRE 2008 E DELLEAPRILE 2009 (OPERE DI CONSOLIDAMENTO ATTIVO E REGIMAZIONE ACQUE);VARIE;Commissario Straordinario - attuazione interventi Regione Piemonte;CAVAGNOLO;135000.00;;134998.86;concluso;;;;;;;;;;;;;;;;
CERES;CITTA' METROPOLITANA DI TORINO;Piemonte;TO179A/10;1;AP 2010-11;Misto;Centroide;"SISTEMAZIONE IDRAULICA ED IDROGEOLOGICA VERSANTE SOVRASTANTE ABITATO (DRENAGGIO ACQUE SOTTERRANEE MEDIANTE DRENI SUBORIZZONTALI; REGIMAZIONE ACQUE SUPERFICIALI MEDIANTE CANALIZZAZIONI (CANALETTE O CUNETTE); STABILIZZAZIONE SUPERFICIE DEL PENDIO MEDIANTE";PIANO DI CERES;Commissario Straordinario - attuazione interventi Regione Piemonte;CERES;500000.00;;500000.00;concluso;;;;;;;;;;;;;;;;
CERESOLE REALE;CITTA' METROPOLITANA DI TORINO;Piemonte;TO180A/10;1;AP 2010-11;Valanga;Georiferito;PROTEZIONE ABITATO DA VALANGHE (MANUTENZIONE BARRIERE FERMANEVE, REALIZZAZIONE DI VALLI DEVIATORI, BARRIERE FERMANEVE ED OMBRELLI DA NEVE  );CENTRO ABITATO E LOC. VILLA;Commissario Straordinario - attuazione interventi Regione Piemonte;CERESOLE REALE;1400000.00;;1400000.00;concluso;;;;;;;;;;;;;;;;
CESANA TORINESE;CITTA' METROPOLITANA DI TORINO;Piemonte;009/99;1;D.L.180/98;Misto;Georiferito;Opere di difesa lungo il Rio Jaffuel per instabilit;CAPOLUOGO;Comune - CESANA TORINESE;CESANA TORINESE;2427347.43;;774685.35;concluso;;;;;;;;;;;;;;;;
CESANA TORINESE;CITTA' METROPOLITANA DI TORINO;Piemonte;009/99;2;D.L.180/98;Misto;Georiferito;Consolidamento e/o monitoraggio della frana Sagnere- lotto 1;Bousson;Comune - CESANA TORINESE;CESANA TORINESE;0.00;vedi lotto 1;503586.28;concluso;;;;;;;;;;;;;;;;
CESANA TORINESE;CITTA' METROPOLITANA DI TORINO;Piemonte;009/99;3;D.L.180/98;Misto;Georiferito;Consolidamento e/o monitoraggio della frana Sagnere - lotto 2;Bousson;Comune - CESANA TORINESE;CESANA TORINESE;0.00;vedi lotto 1;787555.96;concluso;;;;;;;;;;;;;;;;
CESANA TORINESE;CITTA' METROPOLITANA DI TORINO;Piemonte;009/99;4;D.L.180/98;Misto;Georiferito;Completamento e consolidamento muro di sostegno del Viale XXIV Maggio;Capoluogo;Comune - CESANA TORINESE;CESANA TORINESE;0.00;vedi lotto 1;153500.00;concluso;;;;;;;;;;;;;;;;
CESANA TORINESE;CITTA' METROPOLITANA DI TORINO;Piemonte;009/99;5;D.L.180/98;Misto;Georiferito;Difese spondali sul Torrente Ripa a monte dell'abitato di Cesana;Capoluogo;Comune - CESANA TORINESE;CESANA TORINESE;0.00;vedi lotto 1;215000.00;concluso;;;;;;;;;;;;;;;;
CESANA TORINESE;CITTA' METROPOLITANA DI TORINO;Piemonte;010/99;1;D.L.180/98;Misto;Georiferito;Realizzazione del ponte in loc. Ceresieres e relative opere accessorie;CAPOLUOGO;Comune - CESANA TORINESE;CESANA TORINESE;3511906.91;;619748.28;concluso;;;;;;;;;;;;;;;;
CESANA TORINESE;CITTA' METROPOLITANA DI TORINO;Piemonte;010/99;2;D.L.180/98;Misto;Georiferito;Indagine e monitoraggio propedeutico alla progettazione lungo i versanti del T. Piccola Dora e della frana Sagnere;Capoluogo tra gli abitati di Bousson e Cesana;Comune - CESANA TORINESE;CESANA TORINESE;0.00;vedi lotto 1;44171.81;concluso;;;;;;;;;;;;;;;;
CESANA TORINESE;CITTA' METROPOLITANA DI TORINO;Piemonte;010/99;3;D.L.180/98;Misto;Georiferito;Sistemazione idraulica del  Torrente Piccola Dora - lotto1;Capoluogo;Comune - CESANA TORINESE;CESANA TORINESE;0.00;vedi lotto 1;689483.36;concluso;;;;;;;;;;;;;;;;
CESANA TORINESE;CITTA' METROPOLITANA DI TORINO;Piemonte;010/99;4;D.L.180/98;Misto;Georiferito;Sistemazione idraulica del  Torrente Piccola Dora - lotto 2;Capoluogo;Comune - CESANA TORINESE;CESANA TORINESE;0.00;vedi lotto 1;446721.82;concluso;;;;;;;;;;;;;;;;
CESANA TORINESE;CITTA' METROPOLITANA DI TORINO;Piemonte;010/99;5;D.L.180/98;Misto;Georiferito;Interventi legati all'instabilite per fenomeni di tipo torrentizio del Rio Jaffuel;Capoluogo;Comune - CESANA TORINESE;CESANA TORINESE;0.00;vedi lotto 1;945116.13;concluso;;;;;;;;;;;;;;;;
CESANA TORINESE;CITTA' METROPOLITANA DI TORINO;Piemonte;010/99;6;D.L.180/98;Misto;Georiferito;Opere di difesa attiva e passiva sul Rio Gran Vallon;Capoluogo;Comune - CESANA TORINESE;CESANA TORINESE;0.00;vedi lotto 1;774685.35;concluso;;;;;;;;;;;;;;;;
CESANA TORINESE;CITTA' METROPOLITANA DI TORINO;Piemonte;298/09;1;D.L.180/98;Alluvione;Georiferito;Sistemazione dell' asta fluviale del torrente Ripa;Madonna del Ponte, Fraz. Bousson;Comune - CESANA TORINESE;CESANA TORINESE;350000.00;;0.00;concluso;;;;;;;;;;;;;;;;
