Identificativo;TipologiaImmobile;Indirizzo;Comune;Provincia;Sezione;Foglio;Particella;Sub
271F;Fabbricato;Via Alcide de Gasperi;Napoli;NA;POR;2;293;
311F;Fabbricato;Via Tansillo, 28;Napoli;NA;CHI;8;599;
365F;Fabbricato;Via A. Depretis, 130;Napoli;NA;POR;2;93;14
366F;Fabbricato;Via A. Depretis, 130;Napoli;NA;POR;2;93;11
368F;Fabbricato;Via Pietro Metastasio, 25/29;Napoli;NA;CHI;8;66;1
473F;Fabbricato;Via A. Depretis, 130;Napoli;NA;POR;2;93;12
493F;Fabbricato;Via Rossetti - Fuorigrotta;Napoli;NA;CHI;207;931;
495F;Fabbricato;Via Don Bosco, 9/E ;Napoli;NA;SCA;19;317;8
729F;Fabbricato;Via Marchese Campodisola, 21;Napoli;NA;POR;2;223;
737F;Fabbricato;Via S.Lucia 81;Napoli;NA;SFE;4;40;101
739F;Fabbricato;Via Luigi Settembrini 79;Napoli;NA;SLO;2;1;5
743F;Fabbricato;Via S.Lucia n.83;Napoli;NA;SFE;4;40;2
744F;Fabbricato;Via S.Lucia n.85;Napoli;NA;SFE;4;40;3
745F;Fabbricato;Via Marino Turchi n.87;Napoli;NA;SFE;4;40;4
746F;Fabbricato;Via Marino Turchi n.3;Napoli;NA;SFE;4;40;5
747F;Fabbricato;Via Marino Turchi n.13;Napoli;NA;SFE;4;40;15
748F;Fabbricato;Via Marino Turchi n.15;Napoli;NA;SFE;4;40;16
749F;Fabbricato;Via Generale Orsini n. 17;Napoli;NA;SFE;4;40;17
750F;Fabbricato;Via Generale Orsini n. 19 - 21 - 23;Napoli;NA;SFE;4;40;18
752F;Fabbricato;Via Marino Turchi n. 11A - 11B;Napoli;NA;SFE;4;40;20
753F;Fabbricato;Via Raffaele De Cesare n. 18 - 20;Napoli;NA;SFE;4;40;21
754F;Fabbricato;Via Raffaele De Cesare n. 2-4-6-8;Napoli;NA;SFE;4;40;23
756F;Fabbricato;Via Marino Turchi n. 5;Napoli;NA;SFE;4;40;24
757F;Fabbricato;Via Marino Turchi n. 7;Napoli;NA;SFE;4;40;25
760F;Fabbricato;Via Generale Orsini n. 25;Napoli;NA;SFE;4;40;103
1119F;Fabbricato;PARCO COMOLA RICCI;Napoli;NA;CHI;38;168;1
1120F;Fabbricato;PARCO COMOLA RICCI;Napoli;NA;CHI;38;168;13
1121F;Fabbricato;PARCO COMOLA RICCI;Napoli;NA;CHI;38;169;1
1122F;Fabbricato;PARCO COMOLA RICCI;Napoli;NA;CHI;38;172;1
1123F;Fabbricato;PARCO COMOLA RICCI;Napoli;NA;CHI;38;172;2
1124F;Fabbricato;PARCO COMOLA RICCI;Napoli;NA;CHI;38;172;3
1125F;Fabbricato;PARCO COMOLA RICCI;Napoli;NA;CHI;38;172;4
1126F;Fabbricato;PARCO COMOLA RICCI;Napoli;NA;CHI;38;172;5
1127F;Fabbricato;PARCO COMOLA RICCI;Napoli;NA;CHI;38;172;18
1128F;Fabbricato;PARCO COMOLA RICCI;Napoli;NA;CHI;38;172;19
1129F;Fabbricato;PARCO COMOLA RICCI;Napoli;NA;CHI;38;172;7
1130F;Fabbricato;PARCO COMOLA RICCI;Napoli;NA;CHI;38;172;8
1461F;Fabbricato;Via Strettoia Santa Teresa degli Scalzi n. 1 e n. 2;Napoli;NA;STE;6;300;
388F;Fabbricato;Via A. Segni, 18;Pompei;NA;;9;18;1
1251F;Fabbricato;Piazzale E. Fermi;Portici;NA;;7;450;
1252F;Fabbricato;Piazzale E. Fermi;Portici;NA;;7;460;
1253F;Fabbricato;Piazzale E. Fermi;Portici;NA;;7;446;
1368F;Fabbricato;Via dei Platani, 2;Pozzuoli;NA;;91;48;1
1373F;Fabbricato;Largo Opera Nazionale Combattenti;Pozzuoli;NA;;91;43;1
1374F;Fabbricato;Largo Opera Nazionale Combattenti;Pozzuoli;NA;;91;43;2
1390F;Fabbricato;Largo Opera Nazionale Combattenti;Pozzuoli;NA;;91;442;1
1418F;Fabbricato;Via Fosso;Roccarainola;NA;;3;78;1
1419F;Fabbricato;Via Fosso;Roccarainola;NA;;3;79;1
316F;Fabbricato;Largo Riscatto Baronale;Torre del Greco;NA;;11;690;
613F;Fabbricato;Via Poli, 29, piano 2, int. 5;Roma;RM;;478;193;507
814F;Fabbricato;BORGO S. CESAREO;Albanella;SA;;2;141;
827F;Fabbricato;BORGO S. CESAREO;Albanella;SA;;2;332;
402F;Fabbricato;Via Belvedere Statale 18;Battipaglia;SA;;25;193/P;
871F;Fabbricato;VIA BELVEDERE;Battipaglia;SA;;25;200;
872F;Fabbricato;VIA BELVEDERE, 10;Battipaglia;SA;;25;736;
898F;Fabbricato;FASANARA;Battipaglia;SA;;4;163;1
