Identificativo;TipologiaImmobile;Indirizzo;Comune;Provincia;Sezione;Foglio;Particella;Sub
1764T;Terreno;;Montesano sulla Marcellana;SA;;56;15;
1765T;Terreno;;Montesano sulla Marcellana;SA;;56;22;
1766T;Terreno;;Montesano sulla Marcellana;SA;;56;84;
1767T;Terreno;;Montesano sulla Marcellana;SA;;56;85;
1768T;Terreno;;Guardia Lombardi;AV;;48;12;
1769T;Terreno;;Guardia Lombardi;AV;;48;13;
1770T;Terreno;;Guardia Lombardi;AV;;48;198;
1771T;Terreno;;Guardia Lombardi;AV;;48;199;
1772T;Terreno;;Guardia Lombardi;AV;;48;77;
1773T;Terreno;;Guardia Lombardi;AV;;48;32;
1774T;Terreno;;Guardia Lombardi;AV;;48;30;
1870T;Terreno;;Pozzuoli;NA;;35;1;
1873T;Terreno;;Pozzuoli;NA;;35;5;
1874T;Terreno;;Pozzuoli;NA;;35;6;
1875T;Terreno;;Pozzuoli;NA;;35;7;
2581T;Terreno;;Bonea;BN;;1;78;
2582T;Terreno;;Bonea;BN;;1;79;
2585T;Terreno;;Airola;BN;;3;258;
2589T;Terreno;;Ercolano;NA;;18;219;
2591T;Terreno;;Ercolano;NA;;18;223;
2592T;Terreno;;Ercolano;NA;;18;224;
2593T;Terreno;;Carinola;CE;;47;118;
2594T;Terreno;;Carinola;CE;;88;50;
2595T;Terreno;;Sant'Angelo dei Lombardi;AV;;22;2;
2596T;Terreno;;Guardia Lombardi;AV;;48;5;
2597T;Terreno;;Sant'Angelo dei Lombardi;AV;;22;544;
2735T;Terreno;;Pozzuoli;NA;;21;312;
2736T;Terreno;;Pozzuoli;NA;;21;252;
2737T;Terreno;;Pozzuoli;NA;;21;274;
2738T;Terreno;;Pozzuoli;NA;;21;275;
2739T;Terreno;;Pozzuoli;NA;;21;276;
2740T;Terreno;;Pozzuoli;NA;;21;254;
2741T;Terreno;;Pozzuoli;NA;;21;250;
2742T;Terreno;;Pozzuoli;NA;;21;248;
2743T;Terreno;;Pozzuoli;NA;;21;26;
2756T;Terreno;;Bisaccia;AV;;55;228;
3150T;Terreno;;Pratola Serra;AV;;6;471;
3151T;Terreno;;Pratola Serra;AV;;6;470;
3152T;Terreno;;Pratola Serra;AV;;6;472;
3153T;Terreno;;Pratola Serra;AV;;6;473;
3154T;Terreno;;Pratola Serra;AV;;6;474;
3155T;Terreno;;Pratola Serra;AV;;6;476;
3156T;Terreno;;Pratola Serra;AV;;6;477;
3157T;Terreno;;Pratola Serra;AV;;6;478;
3158T;Terreno;;Pratola Serra;AV;;6;17;
3159T;Terreno;;Pratola Serra;AV;;6;30;
3160T;Terreno;;Pratola Serra;AV;;6;220;
3161T;Terreno;;Pratola Serra;AV;;2;601;
3162T;Terreno;;Pratola Serra;AV;;2;602;
3163T;Terreno;;Pratola Serra;AV;;2;606;
3164T;Terreno;;Pratola Serra;AV;;2;607;
3165T;Terreno;;Pratola Serra;AV;;2;603;
3166T;Terreno;;Pratola Serra;AV;;2;604;
3167T;Terreno;;Pratola Serra;AV;;2;605;
3168T;Terreno;;Pratola Serra;AV;;2;599;
3169T;Terreno;;Pratola Serra;AV;;2;598;
3170T;Terreno;;Pratola Serra;AV;;2;597;
3172T;Terreno;;Pratola Serra;AV;;2;594;
3173T;Terreno;;Pratola Serra;AV;;2;595;
3174T;Terreno;;Pratola Serra;AV;;2;609;
3175T;Terreno;;Pratola Serra;AV;;2;608;
3176T;Terreno;;Pratola Serra;AV;;8;700;
3177T;Terreno;;Pratola Serra;AV;;8;685;
3178T;Terreno;;Pratola Serra;AV;;8;684;
3179T;Terreno;;Pratola Serra;AV;;8;683;
3180T;Terreno;;Pratola Serra;AV;;8;682;
3181T;Terreno;;Pratola Serra;AV;;8;681;
3182T;Terreno;;Pratola Serra;AV;;8;680;
3183T;Terreno;;Pratola Serra;AV;;8;697;
3184T;Terreno;;Pratola Serra;AV;;8;696;
3185T;Terreno;;Pratola Serra;AV;;8;695;
3186T;Terreno;;Pratola Serra;AV;;8;694;
3187T;Terreno;;Pratola Serra;AV;;8;693;
3188T;Terreno;;Pratola Serra;AV;;8;692;
3189T;Terreno;;Pratola Serra;AV;;8;691;
3190T;Terreno;;Pratola Serra;AV;;8;690;
3191T;Terreno;;Pratola Serra;AV;;8;689;
3192T;Terreno;;Pratola Serra;AV;;8;688;
3193T;Terreno;;Pratola Serra;AV;;8;687;
3194T;Terreno;;Pratola Serra;AV;;8;686;
3195T;Terreno;;Pratola Serra;AV;;6;29;
3196T;Terreno;;Prata di principato Ultra;AV;;13;227;
3197T;Terreno;;Prata di Principato Ultra;AV;;13;230;
3198T;Terreno;;Prata di Principato Ultra;AV;;13;234;
3199T;Terreno;;Prata di Principato Ultra;AV;;13;233;
3200T;Terreno;;Prata di Principato Ultra;AV;;13;231;
3202T;Terreno;;Prata di Principato Ultra;AV;;13;223;
3203T;Terreno;;Prata di Principato Ultra;AV;;13;224;
3204T;Terreno;;Prata di Principato Ultra;AV;;13;225;
3205T;Terreno;;Prata di Principato Ultra;AV;;13;222;
3206T;Terreno;;Prata di Principato Ultra;AV;;13;226;
3207T;Terreno;;Prata di Principato Ultra;AV;;13;100;
3208T;Terreno;;Prata di Principato Ultra;AV;;13;206;
3209T;Terreno;;Prata di Principato Ultra;AV;;13;219;
3210T;Terreno;;Prata di Principato Ultra;AV;;13;212;
3211T;Terreno;;Prata di Principato Ultra;AV;;13;213;
3212T;Terreno;;Prata di Principato Ultra;AV;;13;216;
3213T;Terreno;;Prata di Principato Ultra;AV;;13;217;
3214T;Terreno;;Prata di Principato Ultra;AV;;13;221;
3215T;Terreno;;Prata di Principato Ultra;AV;;13;218;
3216T;Terreno;;Prata di Principato Ultra;AV;;13;202;
3217T;Terreno;;Prata di Principato Ultra;AV;;13;203;
3218T;Terreno;;Prata di Principato Ultra;AV;;13;214;
3219T;Terreno;;Prata di Principato Ultra;AV;;13;209;
3220T;Terreno;;Prata di Principato Ultra;AV;;13;210;
3221T;Terreno;;Prata di Principato Ultra;AV;;13;215;
3222T;Terreno;;Prata di Principato Ultra;AV;;13;204;
3223T;Terreno;;Prata di Principato Ultra;AV;;13;205;
3224T;Terreno;;Prata di Principato Ultra;AV;;13;207;
3225T;Terreno;;Prata di Principato Ultra;AV;;13;208;
3226T;Terreno;;Prata di Principato Ultra;AV;;13;201;
3227T;Terreno;;Prata di Principato Ultra;AV;;13;196;
3228T;Terreno;;Prata di Principato Ultra;AV;;13;195;
3229T;Terreno;;Prata di Principato Ultra;AV;;13;194;
3230T;Terreno;;Prata di Principato Ultra;AV;;13;193;
3231T;Terreno;;Prata di Principato Ultra;AV;;11;828;
3232T;Terreno;;Prata di Principato Ultra;AV;;12;494;
3233T;Terreno;;Prata di Principato Ultra;AV;;12;495;
3234T;Terreno;;Prata di Principato Ultra;AV;;12;489;
3235T;Terreno;;Prata di Principato Ultra;AV;;12;488;
3236T;Terreno;;Prata di Principato Ultra;AV;;12;492;
3237T;Terreno;;Prata di Principato Ultra;AV;;12;493;
3238T;Terreno;;Prata di Principato Ultra;AV;;12;491;
3239T;Terreno;;Prata di Principato Ultra;AV;;12;490;
3240T;Terreno;;Prata di Principato Ultra;AV;;12;487;
3241T;Terreno;;Prata di Principato Ultra;AV;;12;486;
3242T;Terreno;;Prata di Principato Ultra;AV;;12;485;
3243T;Terreno;;Prata di Principato Ultra;AV;;12;484;
3244T;Terreno;;Prata di Principato Ultra;AV;;12;482;
3245T;Terreno;;Prata di Principato Ultra;AV;;12;481;
3246T;Terreno;;Prata di Principato Ultra;AV;;12;478;
3247T;Terreno;;Prata di Principato Ultra;AV;;12;480;
3248T;Terreno;;Prata di Principato Ultra;AV;;12;479;
3249T;Terreno;;Prata di Principato Ultra;AV;;12;496;
3250T;Terreno;;Prata di Principato Ultra;AV;;12;509;
3251T;Terreno;;Prata di Principato Ultra;AV;;12;510;
3252T;Terreno;;Prata di Principato Ultra;AV;;12;513;
3253T;Terreno;;Prata di Principato Ultra;AV;;12;512;
3254T;Terreno;;Prata di Principato Ultra;AV;;12;511;
3255T;Terreno;;Prata di Principato Ultra;AV;;12;505;
3256T;Terreno;;Prata di Principato Ultra;AV;;12;497;
3257T;Terreno;;Prata di Principato Ultra;AV;;12;498;
3258T;Terreno;;Prata di Principato Ultra;AV;;12;500;
3259T;Terreno;;Prata di Principato Ultra;AV;;12;503;
3260T;Terreno;;Prata di Principato Ultra;AV;;12;504;
3261T;Terreno;;Prata di Principato Ultra;AV;;12;506;
3262T;Terreno;;Prata di Principato Ultra;AV;;12;499;
3263T;Terreno;;Prata di Principato Ultra;AV;;12;501;
3264T;Terreno;;Prata di Principato Ultra;AV;;12;507;
3265T;Terreno;;Prata di Principato Ultra;AV;;12;514;
3266T;Terreno;;Prata di Principato Ultra;AV;;12;515;
3267T;Terreno;;Prata di Principato Ultra;AV;;12;516;
3268T;Terreno;;Prata di Principato Ultra;AV;;12;474;
3269T;Terreno;;Prata di Principato Ultra;AV;;12;475;
3270T;Terreno;;Prata di Principato Ultra;AV;;12;466;
3271T;Terreno;;Prata di Principato Ultra;AV;;12;463;
3272T;Terreno;;Prata di Principato Ultra;AV;;12;476;
3273T;Terreno;;Prata di Principato Ultra;AV;;12;471;
3274T;Terreno;;Prata di Principato Ultra;AV;;12;461;
3275T;Terreno;;Prata di Principato Ultra;AV;;12;460;
3276T;Terreno;;Prata di Principato Ultra;AV;;12;454;
3277T;Terreno;;Prata di Principato Ultra;AV;;12;453;
3278T;Terreno;;Prata di Principato Ultra;AV;;12;464;
3280T;Terreno;;Prata di Principato Ultra;AV;;12;462;
3281T;Terreno;;Prata di Principato Ultra;AV;;12;467;
3282T;Terreno;;Prata di Principato Ultra;AV;;12;470;
3283T;Terreno;;Prata di Principato Ultra;AV;;12;469;
3284T;Terreno;;Prata di Principato Ultra;AV;;12;455;
3285T;Terreno;;Prata di Principato Ultra;AV;;12;459;
3286T;Terreno;;Prata di Principato Ultra;AV;;12;456;
3287T;Terreno;;Prata di Principato Ultra;AV;;12;457;
3288T;Terreno;;Prata di Principato Ultra;AV;;12;458;
3289T;Terreno;;Prata di Principato Ultra;AV;;12;472;
3290T;Terreno;;Prata di Principato Ultra;AV;;12;473;
3291T;Terreno;;Prata di Principato Ultra;AV;;12;441;
3292T;Terreno;;Prata di Principato Ultra;AV;;12;442;
3293T;Terreno;;Prata di Principato Ultra;AV;;12;443;
3294T;Terreno;;Prata di Principato Ultra;AV;;12;438;
3295T;Terreno;;Prata di Principato Ultra;AV;;12;437;
3296T;Terreno;;Prata di Principato Ultra;AV;;12;436;
3297T;Terreno;;Prata di Principato Ultra;AV;;12;439;
3298T;Terreno;;Prata di Principato Ultra;AV;;12;440;
3301T;Terreno;;Prata di Principato Ultra;AV;;12;452;
3302T;Terreno;;Prata di Principato Ultra;AV;;12;451;
3303T;Terreno;;Prata di Principato Ultra;AV;;12;450;
3305T;Terreno;;Prata di Principato Ultra;AV;;12;445;
3306T;Terreno;;Prata di Principato Ultra;AV;;12;446;
3307T;Terreno;;Prata di Principato Ultra;AV;;12;447;
3308T;Terreno;;Prata di Principato Ultra;AV;;12;444;
3309T;Terreno;;Prata di Principato Ultra;AV;;12;226;
3310T;Terreno;;Prata di Principato Ultra;AV;;14;465;
3311T;Terreno;;Prata di Principato Ultra;AV;;14;466;
3312T;Terreno;;Prata di Principato Ultra;AV;;14;467;
3313T;Terreno;;Prata di Principato Ultra;AV;;14;468;
3314T;Terreno;;Prata di Principato Ultra;AV;;14;469;
3315T;Terreno;;Prata di Principato Ultra;AV;;14;491;
3316T;Terreno;;Prata di Principato Ultra;AV;;14;487;
3317T;Terreno;;Prata di Principato Ultra;AV;;14;470;
3318T;Terreno;;Prata di Principato Ultra;AV;;14;471;
3319T;Terreno;;Prata di Principato Ultra;AV;;14;472;
3320T;Terreno;;Prata di Principato Ultra;AV;;14;473;
3321T;Terreno;;Prata di Principato Ultra;AV;;14;490;
3322T;Terreno;;Prata di Principato Ultra;AV;;14;474;
3323T;Terreno;;Prata di Principato Ultra;AV;;14;475;
3324T;Terreno;;Prata di Principato Ultra;AV;;14;476;
3325T;Terreno;;Prata di Principato Ultra;AV;;14;477;
3326T;Terreno;;Prata di Principato Ultra;AV;;14;478;
3327T;Terreno;;Prata di Principato Ultra;AV;;14;479;
3329T;Terreno;;Prata di Principato Ultra;AV;;14;482;
3330T;Terreno;;Prata di Principato Ultra;AV;;14;484;
3331T;Terreno;;Prata di Principato Ultra;AV;;14;485;
3332T;Terreno;;Prata di Principato Ultra;AV;;14;486;
3333T;Terreno;;Prata di Principato Ultra;AV;;14;488;
3334T;Terreno;;Prata di Principato Ultra;AV;;14;480;
3335T;Terreno;;Eboli;SA;;47;1;
3341T;Terreno;;Eboli;SA;;47;14;
3342T;Terreno;;Eboli;SA;;47;15;
3348T;Terreno;;Eboli;SA;;47;34;
3349T;Terreno;;Eboli;SA;;47;119;
3350T;Terreno;;Eboli;SA;;47;120;
3351T;Terreno;;Eboli;SA;;47;121;
3353T;Terreno;;Eboli;SA;;47;128;
3355T;Terreno;;Eboli;SA;;47;267;
3356T;Terreno;;Eboli;SA;;47;419;
3357T;Terreno;;Eboli;SA;;47;420;
3358T;Terreno;;Eboli;SA;;47;451;
3359T;Terreno;;Eboli;SA;;47;452;
3360T;Terreno;;Eboli;SA;;47;458;
3361T;Terreno;;Eboli;SA;;47;461;
3363T;Terreno;;Eboli;SA;;47;25;
3364T;Terreno;;Eboli;SA;;47;47;
3365T;Terreno;;Eboli;SA;;47;48;
3366T;Terreno;;Eboli;SA;;47;49;
3367T;Terreno;;Eboli;SA;;47;58;
3368T;Terreno;;Eboli;SA;;47;59;
3369T;Terreno;;Eboli;SA;;47;60;
3370T;Terreno;;Eboli;SA;;47;61;
3371T;Terreno;;Eboli;SA;;47;62;
3372T;Terreno;;Eboli;SA;;47;63;
3373T;Terreno;;Eboli;SA;;47;64;
3374T;Terreno;;Eboli;SA;;47;65;
3375T;Terreno;;Eboli;SA;;47;66;
3376T;Terreno;;Eboli;SA;;47;68;
3377T;Terreno;;Eboli;SA;;47;118;
3378T;Terreno;;Eboli;SA;;47;125;
3379T;Terreno;;Eboli;SA;;47;129;
3380T;Terreno;;Eboli;SA;;47;134;
3381T;Terreno;;Sala Consilina;SA;;9;603;
3382T;Terreno;;Pozzuoli;NA;;42;52;
3383T;Terreno;;Pozzuoli;NA;;42;54;
3384T;Terreno;;Pozzuoli;NA;;42;167;
3508T;Terreno;;Nola;NA;;17;166;
3509T;Terreno;;Nola;NA;;17;750;
3510T;Terreno;;Castellammare di Stabia;NA;;18;140;
3511T;Terreno;;Castellammare di Stabia;NA;;18;208;
3512T;Terreno;;Castellammare di Stabia;NA;;18;209;
3513T;Terreno;;Castellammare di Stabia;NA;;18;281;
3514T;Terreno;;Castellammare di Stabia;NA;;18;282;
3515T;Terreno;;Castellammare di Stabia;NA;;18;444;
3516T;Terreno;;Castellammare di Stabia;NA;;18;445;
3517T;Terreno;;Castellammare di Stabia;NA;;23;5;
3518T;Terreno;;Castellammare di Stabia;NA;;23;16;
3519T;Terreno;;Castellammare di Stabia;NA;;23;17;
3520T;Terreno;;Castellammare di Stabia;NA;;23;18;
3521T;Terreno;;Castellammare di Stabia;NA;;23;27;
3522T;Terreno;;Castellammare di Stabia;NA;;23;28;
3523T;Terreno;;Castellammare di Stabia;NA;;23;33;
3524T;Terreno;;Castellammare di Stabia;NA;;23;34;
3525T;Terreno;;Castellammare di Stabia;NA;;23;35;
3526T;Terreno;;Castellammare di Stabia;NA;;23;64;
3527T;Terreno;;Castellammare di Stabia;NA;;23;67;
3528T;Terreno;;Castellammare di Stabia;NA;;23;69;
3529T;Terreno;;Castellammare di Stabia;NA;;23;73;
3530T;Terreno;;Castellammare di Stabia;NA;;23;76;
3531T;Terreno;;Castellammare di Stabia;NA;;23;77;
3532T;Terreno;;Castellammare di Stabia;NA;;23;80;
3533T;Terreno;;Castellammare di Stabia;NA;;23;84;
3534T;Terreno;;Castellammare di Stabia;NA;;23;98;
3535T;Terreno;;Pimonte;NA;;7;7;
3536T;Terreno;;Pimonte;NA;;7;8;
3537T;Terreno;;Pimonte;NA;;7;10;
3538T;Terreno;;Vico Equense;NA;;6;1;
3539T;Terreno;;Vico Equense;NA;;6;3;
3540T;Terreno;;Vico Equense;NA;;6;4;
3541T;Terreno;;Vico Equense;NA;;6;7;
3542T;Terreno;;Vico Equense;NA;;6;8;
3543T;Terreno;;Vico Equense;NA;;6;10;
3544T;Terreno;;Vico Equense;NA;;6;16;
3545T;Terreno;;Vico Equense;NA;;6;17;
3546T;Terreno;;Vico Equense;NA;;6;18;
3547T;Terreno;;Vico Equense;NA;;6;22;
3548T;Terreno;;Vico Equense;NA;;6;26;
3549T;Terreno;;Vico Equense;NA;;6;27;
3550T;Terreno;;Vico Equense;NA;;6;29;
3551T;Terreno;;Vico Equense;NA;;6;35;
3552T;Terreno;;Vico Equense;NA;;6;36;
3553T;Terreno;;Vico Equense;NA;;6;39;
3554T;Terreno;;Vico Equense;NA;;6;40;
3555T;Terreno;;Vico Equense;NA;;6;44;
3556T;Terreno;;Vico Equense;NA;;6;45;
3557T;Terreno;;Vico Equense;NA;;6;55;
3558T;Terreno;;Vico Equense;NA;;6;58;
3559T;Terreno;;Vico Equense;NA;;6;59;
3560T;Terreno;;Vico Equense;NA;;6;67;
3561T;Terreno;;Vico Equense;NA;;6;81;
3562T;Terreno;;Vico Equense;NA;;6;83;
3563T;Terreno;;Vico Equense;NA;;6;90;
3564T;Terreno;;Vico Equense;NA;;6;112;
3565T;Terreno;;Vico Equense;NA;;6;113;
3566T;Terreno;;Vico Equense;NA;;6;196;
3567T;Terreno;;Vico Equense;NA;;6;251;
3568T;Terreno;;Vico Equense;NA;;6;311;
3569T;Terreno;;Vico Equense;NA;;6;313;
3570T;Terreno;;Vico Equense;NA;;6;314;
3571T;Terreno;;Vico Equense;NA;;6;315;
3572T;Terreno;;Vico Equense;NA;;6;316;
3573T;Terreno;;Vico Equense;NA;;6;317;
3574T;Terreno;;Vico Equense;NA;;6;318;
3575T;Terreno;;Vico Equense;NA;;6;319;
3576T;Terreno;;Vico Equense;NA;;6;320;
3577T;Terreno;;Vico Equense;NA;;6;321;
3578T;Terreno;;Vico Equense;NA;;6;322;
3579T;Terreno;;Vico Equense;NA;;6;323;
3580T;Terreno;;Vico Equense;NA;;6;324;
3581T;Terreno;;Vico Equense;NA;;6;330;
3582T;Terreno;;Vico Equense;NA;;6;332;
3583T;Terreno;;Vico Equense;NA;;6;334;
3584T;Terreno;;Vico Equense;NA;;6;335;
3585T;Terreno;;Vico Equense;NA;;6;336;
3586T;Terreno;;Vico Equense;NA;;6;337;
3587T;Terreno;;Vico Equense;NA;;6;338;
3588T;Terreno;;Vico Equense;NA;;6;339;
3589T;Terreno;;Vico Equense;NA;;6;340;
3590T;Terreno;;Vico Equense;NA;;6;341;
3591T;Terreno;;Vico Equense;NA;;6;342;
3592T;Terreno;;Vico Equense;NA;;6;344;
3593T;Terreno;;Vico Equense;NA;;6;345;
3594T;Terreno;;Vico Equense;NA;;6;350;
3595T;Terreno;;Vico Equense;NA;;6;370;
3596T;Terreno;;Vico Equense;NA;;6;371;
3597T;Terreno;;Vico Equense;NA;;6;372;
3598T;Terreno;;Vico Equense;NA;;6;379;
3599T;Terreno;;Vico Equense;NA;;6;385;
3600T;Terreno;;Vico Equense;NA;;6;386;
3601T;Terreno;;Vico Equense;NA;;6;416;
3602T;Terreno;;Vico Equense;NA;;6;418;
3603T;Terreno;;Vico Equense;NA;;6;419;
3604T;Terreno;;Vico Equense;NA;;6;420;
3605T;Terreno;;Vico Equense;NA;;6;421;
3606T;Terreno;;Vico Equense;NA;;6;422;
3607T;Terreno;;Vico Equense;NA;;6;423;
3608T;Terreno;;Vico Equense;NA;;6;425;
3609T;Terreno;;Vico Equense;NA;;6;426;
3610T;Terreno;;Vico Equense;NA;;6;427;
3611T;Terreno;;Vico Equense;NA;;6;428;
3612T;Terreno;;Vico Equense;NA;;6;429;
3613T;Terreno;;Vico Equense;NA;;6;431;
3614T;Terreno;;Vico Equense;NA;;6;434;
3615T;Terreno;;Vico Equense;NA;;6;436;
3616T;Terreno;;Vico Equense;NA;;6;437;
3617T;Terreno;;Vico Equense;NA;;6;438;
3618T;Terreno;;Vico Equense;NA;;6;440;
3619T;Terreno;;Vico Equense;NA;;6;442;
3620T;Terreno;;Vico Equense;NA;;6;443;
3621T;Terreno;;Vico Equense;NA;;6;449;
3622T;Terreno;;Vico Equense;NA;;6;476;
3623T;Terreno;;Vico Equense;NA;;6;495;
3624T;Terreno;;Vico Equense;NA;;6;510;
3625T;Terreno;;Vico Equense;NA;;6;512;
3626T;Terreno;;Vico Equense;NA;;6;514;
3627T;Terreno;;Vico Equense;NA;;6;517;
3628T;Terreno;;Vico Equense;NA;;6;519;
3629T;Terreno;;Vico Equense;NA;;6;529;
3630T;Terreno;;Vico Equense;NA;;6;531;
3631T;Terreno;;Vico Equense;NA;;6;533;
3632T;Terreno;;Vico Equense;NA;;6;535;
3633T;Terreno;;Vico Equense;NA;;6;537;
3634T;Terreno;;Vico Equense;NA;;6;558;
3635T;Terreno;;Vico Equense;NA;;9;5;
3636T;Terreno;;Vico Equense;NA;;9;6;
3637T;Terreno;;Vico Equense;NA;;9;10;
3638T;Terreno;;Vico Equense;NA;;9;11;
3639T;Terreno;;Vico Equense;NA;;9;74;
3640T;Terreno;;Vico Equense;NA;;10;2;
3641T;Terreno;;Vico Equense;NA;;10;3;
3642T;Terreno;;Vico Equense;NA;;10;7;
3643T;Terreno;;Vico Equense;NA;;10;8;
3644T;Terreno;;Vico Equense;NA;;10;9;
3645T;Terreno;;Vico Equense;NA;;10;10;
3646T;Terreno;;Vico Equense;NA;;10;163;
3647T;Terreno;;Vico Equense;NA;;10;166;
3648T;Terreno;;Vico Equense;NA;;10;186;
3649T;Terreno;;Vico Equense;NA;;10;203;
3650T;Terreno;;Vico Equense;NA;;10;229;
3651T;Terreno;;Vico Equense;NA;;10;230;
3652T;Terreno;;Vico Equense;NA;;10;264;
3653T;Terreno;;Vico Equense;NA;;10;267;
3654T;Terreno;;Vico Equense;NA;;10;289;
3655T;Terreno;;Vico Equense;NA;;10;293;
3656T;Terreno;;Vico Equense;NA;;10;307;
3657T;Terreno;;Vico Equense;NA;;10;310;
3658T;Terreno;;Vico Equense;NA;;10;324;
3659T;Terreno;;Vico Equense;NA;;10;332;
3661T;Terreno;;Vico Equense;NA;;10;334;
3662T;Terreno;;Eboli;SA;;48;6;
3663T;Terreno;;Eboli;SA;;48;7;
3664T;Terreno;;Eboli;SA;;48;42;
3665T;Terreno;;Benevento;BN;;16;186;
4590T;Terreno;;Ravello;SA;;6;831;
4591T;Terreno;;Ravello;SA;;6;839;
4592T;Terreno;;Ravello;SA;;6;1124;
4593T;Terreno;;Ravello;SA;;6;2363;
4594T;Terreno;;Cardito;NA;;4;1913;
4595T;Terreno;;Cardito;NA;;3;848;
4596T;Terreno;;Cardito;NA;;3;1090;
4597T;Terreno;;Cardito;NA;;3;1093;
4598T;Terreno;;Cardito;NA;;3;1094;
4599T;Terreno;;Cardito;NA;;3;1096;
4600T;Terreno;;Cardito;NA;;4;1496;
4601T;Terreno;;Cardito;NA;;4;1533;
4602T;Terreno;;Cardito;NA;;4;1921;
4606T;Terreno;;Airola;BN;;3;182;
4607T;Terreno;;Airola;BN;;3;259;
4655T;Terreno;;Bonea;BN;;1;49;
5094T;Terreno;;Eboli;SA;;47;452;
5095T;Terreno;;Eboli;SA;;47;121;
5097T;Terreno;;Eboli;SA;;47;452;
5098T;Terreno;;Eboli;SA;;47;452;
5099T;Terreno;;Eboli;SA;;47;458;
5101T;Terreno;;Eboli;SA;;47;121;
5103T;Terreno;;Eboli;SA;;47;452;
5366T;Terreno;;Guardia Lombardi;AV;;48;69;
5505T;Terreno;;Montesano sulla Marcellana;SA;;56;149;
5506T;Terreno;;Montesano sulla Marcellana;SA;;56;137;
5507T;Terreno;;Montesano sulla Marcellana;SA;;56;138;
5508T;Terreno;;Montesano sulla Marcellana;SA;;56;139;
5509T;Terreno;;Montesano sulla Marcellana;SA;;56;140;
5510T;Terreno;;Montesano sulla Marcellana;SA;;56;141;
5511T;Terreno;;Montesano sulla Marcellana;SA;;56;146;
5512T;Terreno;;Montesano sulla Marcellana;SA;;56;147;
5513T;Terreno;;Montesano sulla Marcellana;SA;;211;288;
5514T;Terreno;;Montesano sulla Marcellana;SA;;211;287;
5793T;Terreno;;Sanza;SA;;7;57;
5794T;Terreno;;Sanza;SA;;7;56;
5795T;Terreno;;Serre;SA;;15;2;
5796T;Terreno;;Serre;SA;;15;7;
5797T;Terreno;;Serre;SA;;15;8;
5798T;Terreno;;Serre;SA;;15;9;
5805T;Terreno;;Serre;SA;;15;167;
5811T;Terreno;;Serre;SA;;15;10;
5816T;Terreno;;Serre;SA;;15;15;
5817T;Terreno;;Serre;SA;;15;14;
5818T;Terreno;;Serre;SA;;15;115;
5819T;Terreno;;Serre;SA;;15;116;
5820T;Terreno;;Serre;SA;;15;117;
5821T;Terreno;;Serre;SA;;15;118;
5822T;Terreno;;Serre;SA;;15;119;
5823T;Terreno;;Serre;SA;;15;120;
5824T;Terreno;;Serre;SA;;15;121;
5825T;Terreno;;Serre;SA;;15;122;
5831T;Terreno;;Serre;SA;;15;34;
5832T;Terreno;;Serre;SA;;15;35;
5833T;Terreno;;Serre;SA;;15;36;
5834T;Terreno;;Serre;SA;;15;37;
5835T;Terreno;;Serre;SA;;15;38;
5836T;Terreno;;Serre;SA;;15;39;
5837T;Terreno;;Serre;SA;;15;40;
5838T;Terreno;;Serre;SA;;15;41;
5839T;Terreno;;Serre;SA;;15;42;
5840T;Terreno;;Serre;SA;;15;43;
5841T;Terreno;;Serre;SA;;15;44;
5842T;Terreno;;Serre;SA;;15;45;
5843T;Terreno;;Serre;SA;;15;47;
5844T;Terreno;;Serre;SA;;15;48;
5845T;Terreno;;Serre;SA;;15;49;
5846T;Terreno;;Serre;SA;;15;50;
5847T;Terreno;;Serre;SA;;15;51;
5849T;Terreno;;Serre;SA;;15;68;
5850T;Terreno;;Serre;SA;;15;72;
5851T;Terreno;;Serre;SA;;15;80;
5852T;Terreno;;Serre;SA;;15;81;
5853T;Terreno;;Serre;SA;;15;82;
5854T;Terreno;;Serre;SA;;15;93;
5855T;Terreno;;Serre;SA;;15;94;
5856T;Terreno;;Serre;SA;;15;95;
5857T;Terreno;;Serre;SA;;15;96;
5858T;Terreno;;Serre;SA;;15;97;
5859T;Terreno;;Serre;SA;;15;98;
5860T;Terreno;;Serre;SA;;15;99;
5861T;Terreno;;Serre;SA;;15;100;
5862T;Terreno;;Serre;SA;;15;101;
5863T;Terreno;;Serre;SA;;15;102;
5864T;Terreno;;Serre;SA;;15;103;
5865T;Terreno;;Serre;SA;;15;104;
5871T;Terreno;;Serre;SA;;16;1;
5874T;Terreno;;Serre;SA;;16;71;
5875T;Terreno;;Serre;SA;;16;129;
5882T;Terreno;;Serre;SA;;16;69;
5883T;Terreno;;Serre;SA;;16;2;
5885T;Terreno;;Serre;SA;;16;26;
5887T;Terreno;;Serre;SA;;16;52;
5888T;Terreno;;Serre;SA;;16;54;
5890T;Terreno;;Serre;SA;;16;99;
5891T;Terreno;;Serre;SA;;16;100;
5892T;Terreno;;Serre;SA;;16;102;
5893T;Terreno;;Serre;SA;;16;103;
5894T;Terreno;;Serre;SA;;16;104;
5895T;Terreno;;Serre;SA;;16;106;
5896T;Terreno;;Serre;SA;;16;115;
5897T;Terreno;;Serre;SA;;16;116;
5900T;Terreno;;Serre;SA;;16;140;
5902T;Terreno;;Serre;SA;;16;144;
5904T;Terreno;;Serre;SA;;16;155;
