id;department_code;insee_code;zip_code;name;slug;gps_lat;gps_lng
18993;51;51402;51310;Neuvy;neuvy;4,87393E+13;3,51055E+13
18994;51;51403;51420;Nogent-l'Abbesse;nogent l abbesse;492500652;41576808
18995;51;51404;51330;Noirlieu;noirlieu;48938846;4,81147E+13
18996;51;51406;51300;Norrois;norrois;4,86703E+12;46195175
18997;51;51407;51310;La Noue;la noue;4,87369E+13;3,62173E+12
18998;51;51409;51240;Nuisement-sur-Coole;nuisement sur coole;4,88755E+13;4,30042E+13
18999;51;51410;51480;Œuilly;oeuilly;4,90655E+13;3,7975E+13
19000;51;51412;51230;Ognes;ognes;4,87006E+13;3,90297E+13
19001;51;51413;51530;Oiry;oiry;4,90094E+13;4,03886E+13
19002;51;51414;51700;Olizy;olizy;4,91449E+13;3,76277E+13
19003;51;51415;51240;Omey;omey;4,88518E+13;4,50179E+13
19004;51;51416;51270;Orbais-l'Abbaye;orbais l abbaye;4,89511E+13;3,70641E+13
19005;51;51417;51300;Orconte;orconte;4,86685E+13;4,7262E+13
19006;51;51418;51370;Ormes;ormes;4,92394E+13;3,96053E+13
19007;51;51419;51290;Outines;outines;4,85593E+13;4,66208E+13
19008;51;51420;51300;Outrepont;outrepont;4,87651E+13;4,69119E+13
19009;51;51421;51120;Oyes;oyes;4,88127E+13;3,75743E+13
19010;51;51422;51390;Pargny-lès-Reims;pargny les reims;4,92175E+13;391829
19011;51;51423;51340;Pargny-sur-Saulx;pargny sur saulx;4,87688E+13;4,85501E+13
19012;51;51424;51800;Passavant-en-Argonne;passavant en argonne;4,90214E+13;499673
19013;51;51425;51700;Passy-Grigny;passy grigny;4,91263E+13;3,67737E+13
19014;51;51426;51120;Péas;peas;4,87358E+13;3,77798E+13
19015;51;51428;51400;Les Petites-Loges;les petites loges;4,91338E+13;4,23208E+13
19016;51;51429;51140;Pévy;pevy;4,93155E+13;3,85306E+13
19017;51;51430;51130;Pierre-Morains;pierre morains;4,88434E+13;4,01838E+13
19018;51;51431;51530;Pierry;pierry;4,90207E+13;3,94473E+13
19019;51;51432;51230;Pleurs;pleurs;4,86962E+13;3,87689E+13
19020;51;51433;51300;Plichancourt;plichancourt;4,87433E+13;4,67001E+13
19021;51;51434;51150;Plivot;plivot;4,90152E+12;4,07851E+13
19022;51;51435;51130;Pocancy;pocancy;4,89436E+13;4,14523E+13
19023;51;51436;51240;Pogny;pogny;4,88553E+13;4,4886E+13
19024;51;51437;51170;Poilly;poilly;4,92184E+13;3,81636E+13
19025;51;51438;51460;Poix;poix;4,89588E+13;4,63093E+13
19026;51;51439;51110;Pomacle;pomacle;4,93376E+13;4,15379E+13
19027;51;51440;51490;Pontfaverger-Moronvilliers;pontfaverger moronvilliers;4,92836E+12;4,32406E+13
19028;51;51441;51300;Ponthion;ponthion;4,87548E+13;4,71507E+13
19029;51;51442;51330;Possesse;possesse;4,8894E+13;4,85045E+13
19030;51;51443;51260;Potangis;potangis;485850375;3,64188E+13
19031;51;51444;51220;Pouillon;pouillon;4,93141E+13;3,94707E+13
19032;51;51445;51480;Pourcy;pourcy;4,91478E+13;3,90753E+13
19033;51;51446;51300;Pringy;pringy;48773934125;4493587875
19034;51;51447;51400;Prosnes;prosnes;4,92036E+12;4,29683E+11
19035;51;51448;51140;Prouilly;prouilly;4,92953E+13;3,84699E+13
19036;51;51449;51360;Prunay;prunay;4,9208E+13;4,18E+13
19037;51;51450;51500;Puisieulx;puisieulx;4,92016E+13;4,11889E+13
19038;51;51451;51120;Queudes;queudes;4,86607E+13;3,75277E+13
19039;51;51452;51330;Rapsécourt;rapsecourt;490213825;4,78466E+13
19040;51;51453;51520;Recy;recy;4,89904E+13;4,30204E+13
19041;51;51454;51100;Reims;reims;4,92494E+13;4,03979E+13
19042;51;51455;51300;Reims-la-Brûlée;reims la brulee;4,87203E+13;4,67026E+13
19043;51;51456;51330;Remicourt;remicourt;4,89492E+13;4,85729E+12
19044;51;51457;51480;Reuil;reuil;490857292;38124684
19045;51;51458;51120;Reuves;reuves;4,87914E+13;3,79883E+13
19046;51;51459;51310;Réveillon;reveillon;4,87503E+13;3,45306E+13
19047;51;51460;51210;Rieux;rieux;4,88377E+12;3,50886E+13
19048;51;51461;51500;Rilly-la-Montagne;rilly la montagne;4,91606E+13;4,04526E+13
19049;51;51463;51300;Les Rivières-Henruel;les rivieres henruel;4865191875;454120625
19050;51;51464;51140;Romain;romain;4,93245E+13;3,76346E+13
19051;51;51465;51480;Romery;romery;4,90983E+12;391525875
19052;51;51466;51170;Romigny;romigny;4,91708E+13;3,77258E+13
