MD_ID;ENGLISH;GAEILGE;CONTAE;COUNTY;PROVINCE;GUID;CENTROID_X;CENTROID_Y;AREA;OBJECTID;Shape__Area;Shape__Length
6315003;Municipal District of Roscommon;;Ros Comáin;ROSCOMMON;Connacht;2ae19629-4098-13a3-e055-000000000001;57483911;7749934;84591809552;55;8,46E+14;2,58E+14
5115002;Municipal District of Listowel;;Ciarraí;KERRY;Munster;2ae19629-40c8-13a3-e055-000000000001;48969426;63512443;8155295169;56;8,15E+13;1,98E+14
5215002;Municipal District of Celbridge-Leixlip;;Cill Dara;KILDARE;Leinster;2ae19629-40cc-13a3-e055-000000000001;69773738;73247886;5330784338;57;5,33E+14;5,19E+14
7015001;Municipal District of Arklow;;Cill Mhantáin;WICKLOW;Leinster;2ae19629-40a9-13a3-e055-000000000001;71639718;68248127;48581755685;58;4,86E+14;1,45E+14
5815002;Municipal District of Ardee;;Lú;LOUTH;Leinster;2ae19629-4084-13a3-e055-000000000001;70082953;79244366;37955211097;59;3,8E+14;1,32E+14
5915002;Municipal District of Castlebar;;Maigh Eo;MAYO;Connacht;2ae19629-4087-13a3-e055-000000000001;51330249;78545466;950002711;60;9,5E+14;2,09E+14
6915005;Borough District of Wexford;;Loch Garman;WEXFORD;Leinster;c4422f16-d155-467c-9fa0-abd919d4d380;70183926;62460789;15977556413;61;1,6E+14;1,06E+14
6315001;Municipal District of Athlone;;Ros Comáin;ROSCOMMON;Connacht;2ae19629-4096-13a3-e055-000000000001;58939286;74713384;69562290213;62;6,96E+13;1,83E+14
5815003;Municipal District of Dundalk;;Lú;LOUTH;Leinster;2ae19629-4085-13a3-e055-000000000001;70816114;80750357;32024189748;63;3,2E+14;1,52E+14
4415004;Municipal District of Letterkenny - Milford;;Dún na nGall;DONEGAL;Ulster;2ae19629-40c0-13a3-e055-000000000001;61177644;92604542;8643400085;64;8,64E+14;3,83E+14
5215001;Municipal District of Athy;;Cill Dara;KILDARE;Leinster;2ae19629-40cb-13a3-e055-000000000001;67389948;69378157;46431305124;65;4,64E+14;1,38E+14
7015004;Municipal District of Greystones;;Cill Mhantáin;WICKLOW;Lenster;2ae19629-40dd-13a3-e055-000000000001;72753452;70769574;6509281512;66;6,51E+14;5,4E+14
5915001;Municipal District of Ballina;;Maigh Eo;MAYO;Connacht;2ae19629-4086-13a3-e055-000000000001;5183318;82472356;88380348224;67;8,84E+14;2,32E+14
5015003;Municipal District of Conamara;;Gaillimh;GALWAY;Connacht;2ae19629-40c4-13a3-e055-000000000001;48889428;73398721;20589888749;68;2,06E+13;1,26E+14
5115005;Municipal District of Tralee;;Ciarraí;KERRY;Munster;eb1f7cad-ce6e-4ce5-9940-8df747eae284;48054882;61737216;21297803231;69;2,13E+14;1,31E+14
5715001;Municipal District of Ballymahon;;An Longfort;LONGFORD;Leinster;2ae19629-4080-13a3-e055-000000000001;61438307;7637633;50629326643;70;5,06E+14;1,34E+14
4315008;Municipal District of West Cork;;Corcaigh;CORK;Monster;2ae19629-40bc-13a3-e055-000000000001;49412386;54276123;2E+11;71;2E+14;1,14E+14
