LE_ID,ENGLISH,GAEILGE,CONTAE,COUNTY,PROVINCE,GUID,CENTROID_X,CENTROID_Y,AREA,OBJECTID,Shape__Area,Shape__Length
13110402,CARRICK-ON-SHANNON LEA-6,,Liatroim,LEITRIM,Connacht,2ae19629-3f06-13a3-e055-000000000001,603739.27,797046.82,285933831.16,140,285929096.543884,125048.543594334
13260408,KILLINEY-SHANKILL LEA-7,,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-3f40-13a3-e055-000000000001,724349.01,722551.71,31857298.25,141,31853417.3310242,31312.7942420119
13260415,TALLAGHT SOUTH LEA-5,,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-3f54-13a3-e055-000000000001,706093.91,724111.14,33202903.7,142,33192625.0184326,32368.5347058927
13210407,CAHIR LEA-4,,Tiobraid Árann,TIPPERARY,Munster,2ae19629-3ef4-13a3-e055-000005400001,602429.18,619547.89,540336932.79,143,540352674.128296,138047.904042528
13260407,GLENCULLEN-SANDYFORD LEA-7,,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-3f3f-13a3-e055-000000000001,717720.19,722697.93,52646523.44,144,52649518.1791992,34864.5304193939
13260429,ARTANE-WHITEHALL LEA-6,,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-3ef4-13a3-e055-000005200001,718271.31,739483.09,12640087.33,145,12648934.5082092,19053.0119580867
13170401,CARRICKMACROSS-CASTLEBLAYNEY LEA-6,,Muineachán,MONAGHAN,Ulster,2ae19629-3f1f-13a3-e055-000000000001,684867.07,812044.92,347023886.46,146,347019432.750793,138279.710088064
13200401,SLIGO-DRUMCLIFF LEA-5,,Sligeach,SLIGO,Connacht,2ae19629-3f28-13a3-e055-000000000001,566625.89,840821.45,391272867.59,147,391352375.058167,252843.14109449
13260401,SWORDS LEA-7,,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-3ef8-13a3-e055-000000000001,714487.43,746488.4,74607566.77,148,74597709.7337341,55420.7747562098
1330402,SHANNON LEA-7,,An Clár,CLARE,Munster,2ae19629-3f61-13a3-e055-000000000001,549356.23,664906,258804440.12,149,258802879.391785,119781.84475004
1340413,CORK CITY SOUTH CENTRAL LEA-6,,Corcaigh,CORK,Munster,2ae19629-3ef4-13a3-e055-000001100001,567619.09,568520.61,16890058.52,150,16893139.932373,24964.0601340848
13260418,ONGAR LEA-5,,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-3ef4-13a3-e055-000002200001,704348.84,739613.75,7168681.96,151,7178688.35565186,12737.5125785235
1340406,BANTRY-WEST CORK LEA-4,,Corcaigh,CORK,Munster,2ae19629-3f41-13a3-e055-000000000001,483190.61,544499.81,1239485341.54,152,1239180107.07182,888201.406888777
1330403,ENNIS LEA-7,,An Clár,CLARE,Munster,2ae19629-3f62-13a3-e055-000000000001,532526.3,677422.29,173025325.28,153,173047801.537994,107664.474577127
13150402,CASTLEBAR LEA-7,,Maigh Eo,MAYO,Connacht,2ae19629-3f16-13a3-e055-000000000001,513302.49,785454.66,950002711,154,949948555.070282,209206.829904192
13230403,MULLINGAR LEA-6,,An Iarmhí,WESTMEATH,Leinster,2ae19629-3ef4-13a3-e055-900000000111,645586.75,753159.69,171292841.59,155,171303388.337158,68180.7555995733
13120402,CAPPAMORE-KILMALLOCK LEA-7,,Luimneach,LIMERICK,Munster,2ae19629-3f09-13a3-e055-000000000001,568291.39,637511.5,1035013604.24,156,1034965985.79285,259114.954355946
13260410,BLACKROCK LEA-6,,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-3f4f-13a3-e055-000000000001,720853.94,728116.54,8937906.87,157,8925072.43353271,17523.5933944021
1350400,GLENTIES LEA-6,,Dún na nGall,DONEGAL,Ulster,2ae19629-3f43-13a3-e055-000000000001,585270.37,914985.09,1309188556.78,158,1308908920.82138,662691.768212111
1350403,BUNCRANA LEA-5,,Dún na nGall,DONEGAL,Ulster,2ae19629-3f46-13a3-e055-000000000001,639858.48,926506.61,413527497.33,159,413612162.849792,160914.19365673
13260409,DÚN LAOGHAIRE LEA-7,,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-3f4e-13a3-e055-000000000001,724659.47,727463.43,11453851.74,160,11443648.2536926,28437.7490239003
13200402,SLIGO-STRANDHILL LEA-6,,Sligeach,SLIGO,Connacht,2ae19629-3ef4-13a3-e055-007589300001,565254.17,835262.78,34446823.33,161,34375568.0492859,47475.3424322243
1350405,LETTERKENNY LEA-7,,Dún na nGall,DONEGAL,Ulster,2ae19629-3ef4-13a3-e055-700012002301,610489.65,912061.68,348864600.69,162,348807167.130371,145440.403222938
1380401,CELBRIDGE LEA-4,,Cill Dara,KILDARE,Leinster,2ae19629-3f70-13a3-e055-000000000001,696826.59,730935.81,40617526.96,163,40623638.0361938,39637.3768443165
1330400,ENNISTIMON LEA-4,,An Clár,CLARE,Munster,2ae19629-3f5f-13a3-e055-000000000001,520746.99,695127.4,906792497.92,164,906778966.750946,241866.139158218
1370403,KENMARE LEA-6,,Ciarraí,KERRY,Munster,2ae19629-3f6e-13a3-e055-000000000001,468358.69,575985.16,1865851503.01,165,1865546325.95918,697529.232118319
13160404,TRIM LEA-6,,An Mhí,MEATH,Leinster,2ae19629-3f1c-13a3-e055-000000000001,671062.14,751858.51,499523854.57,166,499520002.534882,153397.662090408
