Jaar;LEEFTIJD;GESLACHT;vervoerwijze;vervoerwijzefilter;wegvak/kruispunt;wegbeheerder;wegnummer;HECTOMETER;STRAAT1;STRAAT2;STRAAT3;GEMEENTE;GEMEENTE 2013;PROVINCIE;type locatie;X_COORD;Y_COORD;latitude;longitude
2009;45;M;Fiets;2;513336094;;;;Broekheurne-ring;Wesselerbrinklaan;De Posten;Enschede;Enschede;Overijssel;W;257084;468034;5219097216;6880186499
2009;15;V;Fiets;2;515517005;;;;H J Kniggestraat;H J Kniggestraat;OLTHOFSVERLAATBRUG;Stadskanaal;Stadskanaal;Groningen;K;257891;558975;5300788227;6920172618
2009;77;V;Fiets;2;516379008;;;;Kipboomweg;Rossummerstraat;Rossummerstraat;Dinkelland;Dinkelland;Overijssel;K;258054;489883;5238710882;6901041793
2009;24;M;Motor;4;516469007;;;;Houtweg;Boslaan;Laan van de Eekharst;Emmen;Emmen;Drenthe;W;258490;534648;5278921925;6921390884
2009;54;M;Personenauto;1;517361025;;;57,6;PROVINCIALE RONDWEG;OLDENZAAL;OLDENZAAL;Oldenzaal;Oldenzaal;Overijssel;W;258749;480853;5230584301;6908462681
2009;20;M;Motor;4;518384008;;;;Denekamperstraat;Denekamperstraat;Dusinksweg;Dinkelland;Dinkelland;Overijssel;K;259457;492062;5240642157;6922322865
2009;18;M;Fiets;2;518515015;;;;Handelsstraat;Sportterreinstraat;Barkelastraat;Stadskanaal;Stadskanaal;Groningen;W;259111;557736;5299651738;6937946095
2009;31;M;Motor;4;520358153;;;;Enschedesestraat;Enschedesestraat;Postweg;Oldenzaal;Oldenzaal;Overijssel;K;260264;479033;5228920232;6930101191
2009;59;V;Bromfiets;5;522342049;;;;Gronausestraat;Euregioweg;Gronausestraat;Enschede;Enschede;Overijssel;W;261209;471062;5221740065;6941442981
2009;16;M;Fiets;2;524465001;;;;Verlengde Splitting;Splitting;Johansvaart;Emmen;Emmen;Drenthe;W;262677;532925;5277292475;6982874083
2009;41;M;Bromfiets;5;524552008;;;;Haven Zuidzijde;Energieweg;Provincialeweg;Oldambt;Oldambt;Groningen;W;262463;576405;531635642;699405309
2009;63;M;Bestelauto;5;525538028;;;;Feiko Clockstraat;Kerklaan;Heresstraat;Pekela;Pekela;Groningen;W;262774;569255;530992741;6996314723
2009;58;M;Fiets;2;527462004;;;;Scholtenskanaal OZ;Willem Albertsvaart NZ;Scholtenskanaal WZ;Emmen;Emmen;Drenthe;W;263871;531351;5275854587;7000040622
2009;39;V;Motor;4;530372002;;;;Beuningerstraat;Kampbrugweg;Paandersdijk;Losser;Losser;Overijssel;W;265575;486110;5235174553;7010240608
2009;84;M;Personenauto;1;533550046;;;;Lijnbaan;Oostelijke Rondweg;Oostelijke Rondweg;Oldambt;Oldambt;Groningen;K;266912;575201;5315183921;7060132213
2009;60;M;mini crossbike;5;540524024;;;;Badweg;Wilmerskamp;Wilmerskamp;Vlagtwedde;Vlagtwedde;Groningen;K;270245;562228;5303460241;7105312973
2010;51;M;Personenauto;1;54179051;;;;Duinstraat;Duinstraat;Doodlopende weg;Veere;Veere;Zeeland;W;27023;389786;5148256069;3544698143
2010;75;M;paard en wagen;5;60175061;;;2,7;Nieuwe Vlissingseweg;Nieuwe Zuidbeekseweg;Bedrijfsweg;Vlissingen;Vlissingen;Zeeland;W;30569;388358;5147052446;3596231399
2010;68;M;Fiets;2;61177017;;;1,8;Nieuwe Vlissingseweg;Nieuwe Vlissingseweg;Stromenweg;Middelburg;Middelburg;Zeeland;W;30869;389205;5147820102;3600248565
2010;79;M;Personenauto;1;68190001;;;4,2;Veerseweg;Schone Walweg;Bieweg;Veere;Veere;Zeeland;W;34571;395663;5153703163;3651303689
2010;18;M;Personenauto;1;84199036;;;;Oost-westweg;Oost-westweg;Provincialeweg;Noord Beveland;Noord Beveland;Zeeland;K;42043;399925;5157687892;3757590365
2010;37;M;Fiets;2;86226001;;;;Serooskerkseweg;LUCHTENBURGHSEWEG;Koetenisseweg;Schouwen-Duiveland;Schouwen-Duiveland;Zeeland;W;43738;413579;5169990754;3777680717
2010;60;V;Fiets;2;90196022;;;;Kortgeenseweg;Kortgeenseweg;Prinsendijk;Noord Beveland;Noord Beveland;Zeeland;W;45146;398847;515678076;3802678531
2010;20;M;Personenauto;1;91199001;;;2,3;Oost Westweg;Oost Westweg;Oost Westweg;Noord Beveland;Noord Beveland;Zeeland;W;47275;399329;5157255101;3833227857
2010;77;M;Voetganger;3;95143021;;;;Rooseveltlaan;Schuberthof;Rooseveltlaan;Terneuzen;Terneuzen;Zeeland;W;47982;371878;5132601035;3851762061
2010;29;M;Personenauto;1;95143027;;;;Rooseveltlaan;Schuberthof;Katspolderlaan;Terneuzen;Terneuzen;Zeeland;W;47850;371475;5132236397;3849990638
2010;31;M;Personenauto;1;95143027;;;;Rooseveltlaan;Schuberthof;Katspolderlaan;Terneuzen;Terneuzen;Zeeland;W;47850;371475;5132236397;3849990638
2010;23;M;Motor;4;98170005;;;8,2;Schoorkenszandweg;Essedijk;Bernhardweg Oost;Borsele;Borsele;Zeeland;W;49900;385572;5144942657;3875198747
2010;57;M;Motor;4;99130027;;;;Tractaatweg;Tractaatweg;Tractaatweg;Terneuzen;Terneuzen;Zeeland;K;49529;365168;5126600337;3875943547
2010;56;V;Fiets;2;101171018;;;;Baarlandsezandweg;Baarlandsezandweg;Baarlandsezandweg;Borsele;Borsele;Zeeland;W;51005;385566;5144957755;389109222
2010;22;V;Motor;4;101188002;;;;Wilhelminapolderweg;Wilhelminapolderweg;Wilhelminapolderweg;Goes;Goes;Zeeland;W;50971;394068;5152597161;3888087779
2010;86;V;Voetganger;3;102182154;;;;Frans den Hollanderlaan;Piet Heinstraat;Wulfaertstraat;Goes;Goes;Zeeland;K;51063;391067;5149902119;3890301344
2010;57;V;Personenauto;1;102229006;;;;DELINGSDIJK;DELINGSDIJK;Heuvelsweg;Schouwen-Duiveland;Schouwen-Duiveland;Zeeland;K;51027;414660;5171102274;3882764642
2010;79;V;Fiets;2;104181098;;;;De Tol;ROTATIEPLEIN;ROTATIEPLEIN;Goes;Goes;Zeeland;K;52116;390567;514947215;3905608166
2010;44;V;Fiets;2;106172008;;;;HOOIDIJK;LANGEDIJK;POPULIERENDIJK;Kapelle;Kapelle;Zeeland;K;53444;386066;5145451531;39260254
