SECTION;RD;TMJA_S1;TMJA_S2;TMJA_S3;TMJO_S1;TMJO_S2;TMJO_S3;T_HPM_S1;HEURE_HPM_S1;T_HPS_S1;HEURE_HPS_S1;T_HPM_S2;HEURE_HPM_S2;T_HPS_S2;HEURE_HPS_S2;SENS1_DE;SENS1_VERS;SENS2_DE;SENS2_VERS;COMMUNE_COMPTEUR;TMJA_AA;TYPE_COMPTAGE;PERIODICITE;ANNEE_COMPTAGE;MOIS_COMPTAGE;TYPE_DU_COMPTEUR;LONGUEUR;geo_shape;geo_point_2d
1;D920;14039;23253;37292;13035;23496;36531;1005;8h-9h;801;17h-18h;1499;8h-9h;1418;18h-19h;Montrouge;Bagneux;Montrouge;Paris;MONTROUGE;37292 (17);TOURNANT;ANNUELLE;2017;SEPTEMBRE;Plots;1140.429018172389;"{""type"": ""LineString"", ""coordinates"": [[2.325645867753459, 48.81970550708159], [2.325936823276488, 48.81322108219348], [2.326740230224051, 48.81047160235614], [2.326577185016378, 48.80950918116384]]}";48.814571662, 2.32602500268
5;D920;12056;11740;23796;11433;9564;20997;750;8h-9h;846;17h-18h;755;8h-9h;633;18h-19h;Antony;Province;Antony;Sceaux;ANTONY;23796 (17);TOURNANT;ANNUELLE;2017;NOVEMBRE;Plots;1509.6656114357259;"{""type"": ""LineString"", ""coordinates"": [[2.314099609365927, 48.77653078443697], [2.314045302756401, 48.77632404910301], [2.313882370225225, 48.775739794986265], [2.31376010209717, 48.775461141283614], [2.313569909959328, 48.7750296778353], [2.313406897928475, 48.774643160236685], [2.313203165728096, 48.77409484796433], [2.31308091334858, 48.77379821835278], [2.312985842991769, 48.773537545077865], [2.312836417664911, 48.77319596889809], [2.3125104343747482, 48.772386976437936], [2.312361027387605, 48.77201843553417], [2.312157325595501, 48.7714521443151], [2.311912830750286, 48.77089483284778], [2.311844940372782, 48.770688092217334], [2.311709137216835, 48.77032854075918], [2.311410353110074, 48.76958246577577], [2.311043660105123, 48.768701553901415], [2.31097578132274, 48.76848582469075], [2.310839976512196, 48.76815323529015], [2.310690606996027, 48.767757726176384], [2.310174582163241, 48.76647231217265], [2.30911740259, 48.763775074052134], [2.308966133892011, 48.76338910917199]]}";48.7699537025, 2.31155607074
10;D906;13159;12752;25911;14427;14789;29216;1023;8h-9h;1013;18h-19h;1001;8h-9h;1048;17h-18h;Châtillon;Clamart;Châtillon;Paris;CHATILLON;25911 (06);TOURNANT;TRIENNALE;2006;SEPTEMBRE;TUBES;1270.8173082601897;"{""type"": ""LineString"", ""coordinates"": [[2.300774951325312, 48.811993856840935], [2.300502970771442, 48.81172414157044], [2.300312573559083, 48.811553316543396], [2.300230974946469, 48.811481388693494], [2.299687045330042, 48.81091499003981], [2.298599130777799, 48.80990801214841], [2.298439541764445, 48.80976715181226], [2.298218342451156, 48.80959331573306], [2.297796734901691, 48.80927860516046], [2.297538302906514, 48.8091257269511], [2.297429487507777, 48.809062776103815], [2.296899021681254, 48.80875701423859], [2.296776607648034, 48.808685069787956], [2.296518181809479, 48.80853219017364], [2.29636856097529, 48.80845124900676], [2.296150945385609, 48.80831635701319], [2.2959877258042782, 48.808226423176166], [2.295294037007276, 48.80785768194129], [2.295062798314103, 48.80774974753946], [2.294437129636019, 48.80741697642474], [2.294001881251335, 48.807192124595204], [2.293444306976798, 48.80680544594812], [2.292791468544128, 48.806445692850616], [2.291785029906416, 48.80588807038762], [2.290737833534695, 48.805285483758105], [2.290193846336779, 48.80497069707376], [2.289745079116549, 48.80469189713353], [2.289568307553225, 48.80456599723618], [2.289105940795417, 48.80428718891562], [2.288738782700355, 48.804053356884026], [2.288616407238305, 48.80396342861996]]}";48.8077457946, 2.29487269124
13;D906;16343;17917;34260;18028;19684;37712;1516;8h-9h;1286;17h-18h;1568;8h-9h;1613;18h-19h;Clamart;Province;Clamart;Châtillon;CLAMART;34260 (06);TOURNANT;TRIENNALE;2006;SEPTEMBRE;TUBES;821.6123737581971;"{""type"": ""LineString"", ""coordinates"": [[2.262906390901354, 48.79009984816432], [2.262131484789466, 48.789784785147845], [2.261764419955217, 48.789640745624034], [2.2614789465184, 48.789514733434224], [2.261057513032799, 48.78934369443416], [2.260649673622542, 48.78918165029403], [2.260269027721345, 48.78902860958276], [2.259249470780116, 48.78860551347932], [2.259208689544872, 48.78858751088046], [2.259004774890185, 48.78850648569915], [2.258828065567206, 48.788425478279954], [2.258501827051189, 48.788281455935824], [2.257332688099867, 48.78784925683175], [2.25662583130705, 48.78755217830784], [2.2540430908398, 48.786507800429234], [2.253381902045201, 48.78623160317385]]}";48.7881650184, 2.25814449744
14;D906;16150;19478;35628;17067;20648;37715;1147;7h-8h;1228;18h-19h;1326;8h-9h;1473;17h-18h;Clamart;Province;Clamart;Châtillon;CLAMART;35628 (06);TOURNANT;TRIENNALE;2006;SEPTEMBRE;TUBES;1220.1838908787267;"{""type"": ""LineString"", ""coordinates"": [[2.253381902045201, 48.78623160317385], [2.252221674001413, 48.78575152521298], [2.251664360952935, 48.7855354158533], [2.251242993002438, 48.78536434077072], [2.250427513516899, 48.78499524206191], [2.250142077673602, 48.784878190529064], [2.2483614711499422, 48.784184801595735], [2.24769548829241, 48.78390567534111], [2.246645510520899, 48.78344915157224], [2.244922839994977, 48.78278006161451], [2.24049234266462, 48.780951982212414], [2.239282871044597, 48.78043867730603]]}";48.7833414235, 2.24633008218
15;D906;17329;9910;27239;18639;10616;29255;1467;9h-10h;1566;18h-19h;759;8h-9h;776;19h-20h;Clamart;Province;Clamart;Châtillon;CLAMART;27239 (13);TOURNANT;TRIENNALE;2013;SEPTEMBRE;TUBES;1075.4436473394808;"{""type"": ""LineString"", ""coordinates"": [[2.239269270870674, 48.78043866638005], [2.239079002394439, 48.78036660558119], [2.238467486066324, 48.780105448200835], [2.238086989342618, 48.779943347615095], [2.236891077654088, 48.77947496946108], [2.235314777814937, 48.778808517901865], [2.231496345772135, 48.77726823610923], [2.231224595967782, 48.77715115021654], [2.230844197801349, 48.776962062443886], [2.230463710591506, 48.77681791345812], [2.230314284129324, 48.77673688690231], [2.229757195249323, 48.77650269589658], [2.229498996500391, 48.77641258289075], [2.229322356386005, 48.77634051798368], [2.229268071461247, 48.77628654058974], [2.22905085675779, 48.77610658278554], [2.228942306511497, 48.77598963880068], [2.228833906691674, 48.775800791528745], [2.228807027242027, 48.77564796922354], [2.228794100633165, 48.77532438685841], [2.228808503134704, 48.77493791363836], [2.228836578981187, 48.7745154987189]]}";48.7779366876, 2.23343834582
19;D76;13135;;13135;14006;;14006;951;8h-9h;1004;18h-19h;;;;;Paris;Province;Issy-les-Moulineaux;Paris;ISSY-LES-MOULINEAUX;13135 (12);TOURNANT;TRIENNALE;2012;SEPTEMBRE;TUBES;675.5038898453734;"{""type"": ""LineString"", ""coordinates"": [[2.28061257461671, 48.83202864004824], [2.279932300881487, 48.83165083516491], [2.278871087984493, 48.831066126538296], [2.278721429720093, 48.83098516442538], [2.278544545565063, 48.8309041886759], [2.277850851109134, 48.830382563194775], [2.277633264554809, 48.83018472709476], [2.277143631231537, 48.82979801314443], [2.275715232848627, 48.82896143518869], [2.275198314902092, 48.82864659976255], [2.273946801925453, 48.82792693158369], [2.27390356433751, 48.82789595408373]]}";48.8299667259, 2.27725745085
31;D907;5476;5781;11257;6029;6310;12339;;;;;;;;;Garches;Vaucresson;Garches;Saint-Cloud;GARCHES;11257 (17);SITER;ANNUELLE;2017;365J;;2273.413746339569;"{""type"": ""LineString"", ""coordinates"": [[2.199122447431442, 48.84152510611526], [2.198469062027751, 48.841452447406475], [2.197067297774617, 48.841190166952316], [2.196563744248558, 48.84109969834698], [2.193665130506024, 48.840512048580706], [2.191896516332602, 48.83998862524655], [2.191148101834762, 48.83982593337193], [2.19034517934295, 48.839681144758394], [2.18943356535278, 48.83945532814742], [2.188671730038761, 48.83922969044241], [2.187869107663053, 48.83898602259453], [2.18744733662135, 48.838877641985476], [2.187080081814236, 48.838751353274624], [2.186604009320907, 48.83858897531558], [2.186127729920683, 48.83849849619017], [2.185855553149546, 48.83845321278049], [2.185801117039989, 48.83844415583561], [2.185733066398899, 48.83843508250952], [2.185678605543317, 48.83843501255635], [2.185202119304912, 48.83841643131244], [2.182180041462568, 48.83823278682605], [2.181689997729912, 48.83819619747594], [2.18124077247994, 48.83816864825408], [2.181077416384626, 48.83815944668459], [2.180832339760161, 48.83815912578854], [2.18043755011952, 48.838140631826924], [2.1802469355103, 48.83814038032968], [2.180029091979767, 48.83814009355759], [2.179429990585536, 48.83814828981402], [2.178572199304006, 48.83815613917339], [2.178408814908884, 48.838155921741595], [2.177796153742668, 48.8381461163868], [2.177687231290494, 48.83814597072629], [2.177619154928544, 48.838145879637295], [2.176802209500017, 48.83815377045489], [2.176557160731604, 48.83814445251076], [2.176420980191077, 48.8381532568921], [2.174460009720312, 48.83826743445893], [2.174391933199185, 48.83826734145961], [2.174078724442804, 48.83828488901525], [2.172744221866449, 48.83834596819395], [2.17207695572261, 48.83838099684829], [2.171736513692751, 48.83839849935856], [2.171450648438214, 48.83838012764215], [2.170375467101721, 48.838243812627816], [2.169327725480922, 48.83804461401393], [2.169096381807492, 48.838008337370006]]}";48.8390839341, 2.18418151612
34;D3;26327;31544;57871;28952;34658;63610;2055;9h-10h;2740;20h-21h;4481;9h-10h;2319;19h-20h;Suresnes;Nanterre;Suresnes;Paris;SURESNES;57871 (13);TOURNANT;TRIENNALE;2013;JUIN;TUBES;88.7370979393011;"{""type"": ""LineString"", ""coordinates"": [[2.229543258284585, 48.866856207821115], [2.228916268270198, 48.867017415188876], [2.228425541636069, 48.867160768146036]]}";48.8670040046, 2.22898316908
37;D985;6042;4742;10784;6822;5450;12272;595;8h-9h;564;17h-18h;376;8h-9h;536;18h-19h;Saint-Cloud;Suresnes;Saint-Cloud;Ville-d'Avray;SAINT-CLOUD;10784 (17);TOURNANT;TRIENNALE;2017;JUIN;Plots;2169.0173317046265;"{""type"": ""LineString"", ""coordinates"": [[2.211091414762374, 48.85826415313585], [2.211077882648534, 48.85822818810287], [2.210969441018396, 48.85801237466555], [2.21092886271543, 48.85789549426218], [2.210942897691306, 48.857724747030396], [2.21102547183388, 48.85737432261254], [2.211176472135752, 48.85688915773733], [2.211217595273316, 48.85678135171002], [2.212108858777115, 48.85431072636806], [2.212260013266055, 48.85375365917609], [2.212438360139869, 48.853214594902525], [2.212493074730231, 48.85311578948992], [2.212547982577045, 48.852936096301946], [2.212575587781769, 48.85278333690907], [2.21264398538543, 48.852657583518045], [2.2126986549641, 48.852576752949496], [2.212739771300462, 48.852468945418586], [2.212959266312797, 48.85180409773338], [2.213041645214632, 48.851525569635264], [2.213096528098334, 48.85135486407887], [2.213425605727419, 48.85042050223232], [2.213480507275635, 48.8502408085369], [2.213768481481231, 48.849405265492116], [2.214221372262971, 48.84793177487667], [2.214290077309176, 48.847671206823456], [2.214263224564169, 48.84750940345692], [2.214250541397841, 48.84711393757466], [2.214196538197283, 48.846916155566696], [2.214115555937986, 48.84661049501626], [2.214020765551827, 48.846385708301106], [2.21387154755951, 48.84614289081549], [2.213545775744227, 48.84570216339653], [2.21335564643472, 48.84548626441951], [2.213097432664933, 48.845270295034624], [2.212743965206873, 48.84502726284929], [2.212295160458934, 48.844793117834186], [2.211968718206447, 48.844639987252094], [2.211778187510213, 48.84459484923647], [2.211533232654817, 48.84453167911829], [2.211329063658914, 48.84449551318538], [2.21100232090282, 48.844468205571005], [2.210375915297985, 48.84447652999269], [2.210239767042489, 48.84446739763758], [2.209531749027078, 48.844439680437304], [2.209368344036201, 48.84443950609007], [2.208701176762587, 48.844411827151376], [2.208102096461684, 48.844384218336245], [2.207734548054396, 48.844338882605676], [2.207448838831854, 48.844239708967656], [2.207190408879439, 48.844122589985496], [2.207027500331704, 48.843924685808275], [2.206946272053999, 48.8437358578647], [2.20701696587231, 48.84269337493136], [2.207017214274334, 48.842594511217406], [2.207045144614795, 48.84231592630498]]}";48.8489515724, 2.21158420918
43;D913;17529;19825;37354;19103;22100;41203;1268;9h-10h;1752;19h-20h;2119;9h-10h;1552;19h-20h;Paris;province;province;Paris;NANTERRE;37354 (13);TOURNANT;TRIENNALE;2013;JUIN;TUBES;948.2350164300968;"{""type"": ""LineString"", ""coordinates"": [[2.227052384635722, 48.88514317640924], [2.2267934775508, 48.88513395055949], [2.226234684726202, 48.885160395582574], [2.225962073299537, 48.88518710426199], [2.224803522456897, 48.88527589448102], [2.224381005338505, 48.88530245946009], [2.223944838452896, 48.88533799623174], [2.221804903240195, 48.88550671091163], [2.22151867858771, 48.885524409080304], [2.221177923137483, 48.885551041295], [2.221041625650626, 48.8855598957863], [2.220837168688321, 48.88557767251012], [2.22065996633834, 48.88559547421603], [2.219787644312385, 48.88565753273127], [2.219242469327289, 48.88568395793232], [2.217743137415501, 48.885799306168074], [2.217511422092531, 48.88581704914078], [2.216857138246151, 48.88587930387837], [2.216161991095567, 48.885932526055356], [2.214989737613234, 48.88603918232549], [2.214207954566601, 48.886092018617475]]}";48.8855926274, 2.22062909802
55;D992;11275;15376;26651;11372;15927;27299;661;9h-10h;783;16h-17h;1258;8h-9h;944;19h-20h;Colombes;Province;Colombes;La Garenne-Colombes;COLOMBES;26651 (14);TOURNANT;ANNUELLE;2014;MARS;TUBES;1733.4639228946442;"{""type"": ""LineString"", ""coordinates"": [[2.239003595004138, 48.90694749290188], [2.238894068197157, 48.90719005417412], [2.238757392989687, 48.90736968463543], [2.238579850137096, 48.90753130620912], [2.238211142942134, 48.9078455505074], [2.237883506624934, 48.90806995635816], [2.237460152709714, 48.90843807565798], [2.237296253798122, 48.90859071940318], [2.237214329357862, 48.908653561190306], [2.236777455018607, 48.90895875626925], [2.236463559612891, 48.90912026051979], [2.234620467137347, 48.91038587478833], [2.233459897642001, 48.91121168616638], [2.232599727287703, 48.91180408465527], [2.231848725412698, 48.91234265026354], [2.2315073604812152, 48.91258499994596], [2.230565186339402, 48.91324920771349], [2.229841318314362, 48.91383271968304], [2.229062688774788, 48.91451503506227], [2.228489247865079, 48.91487399701865], [2.228202469335902, 48.91508043868617], [2.226468050700469, 48.91634602015401], [2.224460451762867, 48.91778207149834], [2.224241939237955, 48.91793464486743], [2.223340562898523, 48.91856288244954]]}";48.9128375708, 2.23126340002
77;D986;15240;;15240;14579;0;14579;1067;8h-9h;1060;17h-18h;0;8h-9h;0;18h-19h;;;;;ANTONY;15240 (17);TOURNANT;ANNUELLE;2017;;Plots;296.2870601114467;"{""type"": ""LineString"", ""coordinates"": [[2.308916642872583, 48.763298260749806], [2.309101307799923, 48.76324334547654], [2.309544768514437, 48.76314517374911], [2.309833850263432, 48.76309557699344], [2.309906033329862, 48.76308969831809], [2.310510587753614, 48.762949280971114], [2.311526631370186, 48.76265833089465], [2.311836753510665, 48.76256028075034], [2.312045567033098, 48.76251021626398], [2.312262329278185, 48.76247638721772], [2.312698715745872, 48.762397950195854]]}";48.762845764, 2.31080738853
78;D986;15464;;15464;15915;;15915;1042;8h-9h;1166;18h-19h;;;;;Département 94;Clamart;Clamart;Département 94;ANTONY;15464 (13);TOURNANT;ANNUELLE;2013;NOVEMBRE;TUBES;1249.211146271089;"{""type"": ""LineString"", ""coordinates"": [[2.292775474630637, 48.76111921048543], [2.294582660653572, 48.76049298867149], [2.295073616281976, 48.760574327975334], [2.297098797886948, 48.76094026660886], [2.299246674745922, 48.761427945941364], [2.303910860057317, 48.76236270016889], [2.308916642872583, 48.763298260749806]]}";48.7617798789, 2.30081291419
86;D986;3973;3316;7288;4714;3850;8564;272;8h-9h;484;17h-18h;356;8h-9h;252;18h-19h;Colombes;Asnières;Colombes;Nanterre;COLOMBES;7288 (17);TOURNANT;TRIENNALE;2017;MARS;Plots;1989.7830245331304;"{""type"": ""LineString"", ""coordinates"": [[2.252447130837123, 48.92308947365367], [2.25134246363531, 48.92309767480743], [2.250374308590318, 48.92302508258936], [2.250033442497608, 48.92297990098183], [2.249840793981312, 48.92294557092258], [2.249678968879122, 48.92291673388774], [2.248411083337045, 48.92267315344671], [2.248002125456028, 48.92257399405551], [2.247511577814107, 48.92233996672462], [2.247320808400973, 48.92224995342691], [2.2460536275742, 48.92161990924976], [2.245249647356202, 48.92126880257664], [2.245045265907653, 48.92116978924522], [2.244091532951714, 48.920683754885914], [2.2430969398779332, 48.92017970730946], [2.242878994053926, 48.92004473095416], [2.241693741794168, 48.91941470330371], [2.241462132828111, 48.919297687513605], [2.241189647827627, 48.91916266439125], [2.241053414001717, 48.91909065911182], [2.240753708568083, 48.91892865269355], [2.240208648134542, 48.91871252413462], [2.23932293375928, 48.91836131105182], [2.239077647780975, 48.91827124038357], [2.238573458923899, 48.91808210042465], [2.2382464436029452, 48.917947025403805], [2.237551438327271, 48.91771278699571], [2.237238029027339, 48.917595695019955], [2.236965512380392, 48.91748762361945], [2.23651584932663, 48.91731649328612], [2.235262256473278, 48.91683912199429], [2.235180511754047, 48.91680310401155], [2.234390244396262, 48.91648788316733], [2.2334637004392, 48.91613659040572], [2.232428099794509, 48.91577620853327], [2.231433477188169, 48.91538889292773], [2.230997485981648, 48.91521775373376], [2.23061598360436, 48.91507362242049], [2.229893798795056, 48.914830327748916], [2.229130790105693, 48.914551044382605], [2.229062688774788, 48.91451503506227]]}";48.9191390779, 2.24070488493
101;D182;14355;13143;27499;15045;13489;28534;951;8h-9h;1163;17h-18h;766;8h-9h;1102;18h-19h;Vaucresson;A 13;Vaucresson;Versailles;VAUCRESSON;27499 (17);TOURNANT;TRIENNALE;2017;JUIN;Plots;1540.3447367590777;"{""type"": ""LineString"", ""coordinates"": [[2.150430219825577, 48.81894458305989], [2.150470534928743, 48.819088450136555], [2.150483918322227, 48.819151386337], [2.1510105989471002, 48.820302644826384], [2.151416025415004, 48.82111217663895], [2.151456280507284, 48.821274019231616], [2.151482249376083, 48.821624582045416], [2.15146802734976, 48.82179532727918], [2.151440099668132, 48.82199301415029], [2.150999586008802, 48.823376440083024], [2.151038746661956, 48.82384386401447], [2.151052034971336, 48.8239337621539], [2.151092226451877, 48.82411357981257], [2.151199736113405, 48.824500219815896], [2.15126647680507, 48.82486882158809], [2.1513462828945302, 48.8253902343229], [2.151372253141893, 48.82574079608877], [2.151412125601664, 48.826010490352395], [2.151425319631086, 48.826127351368626], [2.151424773323086, 48.82628014194258], [2.151424034599259, 48.826486858388286], [2.15150252814072, 48.82737676493741], [2.151528500525269, 48.827727325684315], [2.151592293011799, 48.82892279087672], [2.151591684014607, 48.82909355639236], [2.151631046888603, 48.829507052145004], [2.151765798074708, 48.829893732159384], [2.151819736698914, 48.83003761983861], [2.151914387748036, 48.83021752036622], [2.152022556590748, 48.83042440588798], [2.152239122042273, 48.83077526193461], [2.152401363408464, 48.831090082768], [2.15260415995541, 48.831485855680235], [2.153117940498618, 48.83248428301459]]}";48.8257449333, 2.15151824674
108;D50;12335;13901;26236;14002;15965;29967;1361;9h-10h;1276;19h-20h;1403;9h-10h;1376;19h-20h;Issy-les-Moulineaux;Boulogne-Billancourt;Issy-les-Moulineaux;Montrouge;ISSY-LES-MOULINEAUX;26236 (13);TOURNANT;TRIENNALE;2013;SEPTEMBRE;TUBES;257.79825523127187;"{""type"": ""LineString"", ""coordinates"": [[2.258015312328726, 48.830964266641494], [2.25819241119157, 48.8308834943544], [2.258955251908507, 48.83056044043821], [2.259513762634007, 48.8303181372454], [2.260385585869476, 48.829932230781466], [2.26075336620725, 48.829779676738845], [2.260971270413807, 48.82971690211626]]}";48.8303271699, 2.25948842103
122;D1;14364;20787;35150;17717;25612;43329;1593;8h-9h;1328;17h-18h;2024;8h-9h;2085;18h-19h;Boulogne;Paris;Paris;Boulogne;BOULOGNE-BILLANCOURT;35150 (17);TOURNANT;ANNUELLE;2017;JUIN;Plots;1494.6035863765887;"{""type"": ""MultiLineString"", ""coordinates"": [[[2.22518471065561, 48.841201876468986], [2.225266019878619, 48.84138170452402], [2.225279598463327, 48.84139969299539], [2.225279578051717, 48.8414086800307], [2.22534736913597, 48.84154355753877], [2.225469355962479, 48.841804311934276], [2.22552353259251, 48.84193917677962], [2.225685946256446, 48.84239769518064], [2.225726486754873, 48.84254153441873]], [[2.225726486754873, 48.84254153441873], [2.225353744779713, 48.84219756407923], [2.225069523694172, 48.841717943325754], [2.224857883453655, 48.84121954520802]], [[2.225726486754873, 48.84254153441873], [2.225834649625066, 48.84290113871261], [2.2259562188836473, 48.843359618227204], [2.226551664538469, 48.845094772286025], [2.227147321328227, 48.84674903414576], [2.227241922651614, 48.84709064778735], [2.227309100231419, 48.84752211241978], [2.227335348728825, 48.84798948902642], [2.227307143256292, 48.848447827414155], [2.227279793791176, 48.848501727643495], [2.227306877420699, 48.84857365309512], [2.227265490931658, 48.84882526562525], [2.2271964117885013, 48.849292553940145], [2.227045468859716, 48.84983166695986], [2.226840066212911, 48.85036174223957], [2.226483648916154, 48.851457890387984], [2.226304534281365, 48.85242837555373], [2.226317195275921, 48.852877762884305], [2.226317022672962, 48.85295865064565]]]}";48.8464387064, 2.22640408444
123;D1;13595;2122;15717;16017;2526;18543;;;;;;;;;Neuilly-sur-Seine;Clichy;Neuilly-sur-Seine;Boulogne-Billancourt;NEUILLY-SUR-SEINE;15717 (17);SITER;ANNUELLE;2017;365J;;1326.523215159526;"{""type"": ""LineString"", ""coordinates"": [[2.2463921561207982, 48.87618108918687], [2.246500954887485, 48.876298007103294], [2.247289641615055, 48.87721530926794], [2.247874602160782, 48.87776397339077], [2.248214723531248, 48.878069794702306], [2.248758977668774, 48.87852855105465], [2.249861140217628, 48.8794460647083], [2.250772976596598, 48.88012077425033], [2.251956895146726, 48.8810832626362], [2.252310690219938, 48.88138908201817], [2.252392302849665, 48.88147901272069], [2.253140277393805, 48.88240523028899], [2.253643580612645, 48.882962793265115], [2.254010750787951, 48.88343937396032], [2.254187546564578, 48.88366417878805], [2.25485391933493, 48.88452741651581], [2.254976211440176, 48.88475218197847], [2.255125789209415, 48.884958991412184], [2.25526178201731, 48.88513882973242], [2.255873680276989, 48.88600202345344], [2.255982479136409, 48.886145893217055], [2.256021698807329, 48.88620496160139]]}";48.8810007763, 2.25141904615
129;D7;15880;10804;26684;18474;12638;31112;1213;8h-9h;1486;18h-19h;1268;8h-9h;797;18h-19h;Paris;Province;Province;Paris;BOULOGNE-BILLANCOURT;26684 (11);SITER;ANNUELLE;2011;365J;BOUCLES;1267.5072525337084;"{""type"": ""LineString"", ""coordinates"": [[2.25017582210041, 48.82169250453835], [2.250461385474254, 48.8218544907817], [2.251427270331923, 48.822160770832475], [2.251957826973501, 48.82233191717981], [2.252814925980358, 48.82258418142458], [2.253413475971525, 48.82280030835474], [2.254882648561342, 48.82334059206167], [2.255807527937955, 48.82379061094661], [2.256351476555722, 48.82412352570472], [2.257425684798527, 48.82485225171747], [2.257656840526503, 48.82501418400537], [2.25786077175457, 48.82517609836855], [2.258486149219502, 48.825688810937045], [2.259193157692063, 48.82623752333437], [2.259478665913762, 48.826471388968415], [2.260144897618567, 48.826993105967226], [2.260307994972619, 48.827163977652056], [2.260416682850754, 48.82730784974911], [2.2605116920068102, 48.82749665223375], [2.260579424997127, 48.827721387888246], [2.260606346211157, 48.82792812148461], [2.260578511624873, 48.82834153735836], [2.260646099419318, 48.82866513690112], [2.260849318089089, 48.82933035452292], [2.260930615216895, 48.82959104832263], [2.260971270413807, 48.82971690211626]]}";48.8248372072, 2.25643934083
132;D7;6908;17350;24258;7344;18867;26211;;;;;;;;;Sèvres;Saint Cloud;Sèvres;Issy-les-Moulineaux;SAINT-CLOUD;24258 (17);SITER;ANNUELLE;2017;365J;;1562.8858988641819;"{""type"": ""LineString"", ""coordinates"": [[2.222501909436602, 48.841388071084296], [2.222298856130993, 48.84084861964183], [2.2221904850068652, 48.840596862746196], [2.222068477555843, 48.84035407981409], [2.221878253156076, 48.840174144760596], [2.221728956544053, 48.83995829751678], [2.221566185736641, 48.83967952415239], [2.221498607426924, 48.83945476854702], [2.2214718964691142, 48.83922106494881], [2.221459140154836, 48.83883458560626], [2.221500446191841, 48.8386279100649], [2.221597174175013, 48.83798988321732], [2.221748798057785, 48.83715418061512], [2.221914051869199, 48.836309503658775], [2.222051931119386, 48.835527712492], [2.222079438902469, 48.83540191163542], [2.222134594097123, 48.83508739786019], [2.2221486657480902, 48.834880695185745], [2.222149162987566, 48.834656004558404], [2.222150255533654, 48.83416168532689], [2.222164665734541, 48.833802193780336], [2.222165798708412, 48.83328989860119], [2.222193900052687, 48.83289446814305], [2.222208150008283, 48.83260687744362], [2.22224958774243, 48.832337287617264], [2.222277352084614, 48.83209464689191], [2.222332282911848, 48.83187899586302], [2.222387134967506, 48.83169929571949], [2.222428292981324, 48.83155553263547], [2.222510450532864, 48.831339907345225], [2.222606219939051, 48.83112429488167], [2.222701950840294, 48.830926658251926], [2.222770255593919, 48.83081887171723], [2.222934130729813, 48.83058534923494], [2.223111556998965, 48.83037880230236], [2.223548205704392, 48.82991185933606], [2.224257750408144, 48.82914857999452], [2.224462764420585, 48.8287712905935], [2.224899308680083, 48.82834029332917], [2.225076680728729, 48.82815171832544], [2.225206461148632, 48.82796391866263]]}";48.8344384189, 2.22251708079
134;D7;18446;17567;36013;19860;18996;38856;;;;;;;;;Puteaux;Neuilly-sur-Seine;Puteaux;Boulogne-Billancourt;PUTEAUX;36013 (17);SITER;ANNUELLE;2017;365J;;1624.633574685073;"{""type"": ""LineString"", ""coordinates"": [[2.242573115033709, 48.87834407797082], [2.242205774267783, 48.8780382179551], [2.241539100013085, 48.87749844814712], [2.241103676050716, 48.87717455638687], [2.241060611425604, 48.87714427400579], [2.240246385310288, 48.87657171459284], [2.239933420433162, 48.87634677707648], [2.238463925168461, 48.8752670941769], [2.238232589521707, 48.87511411769748], [2.237742654008617, 48.87481712992832], [2.237497731981259, 48.87464616684853], [2.237211954162385, 48.87446618095211], [2.236858157474869, 48.8742322144924], [2.236191379435398, 48.87380026018305], [2.235334148360614, 48.873224343413845], [2.234408903535774, 48.872603425016], [2.233674276628108, 48.87205456200872], [2.233130224217055, 48.871595734785956], [2.232327813014801, 48.870894019391265], [2.231131179443741, 48.8697785294152], [2.230315237464532, 48.869058812100526], [2.229825719762682, 48.86860900397335], [2.228914770737071, 48.867736405887506], [2.228765235216178, 48.86758348486345], [2.228425541636069, 48.867160768146036]]}";48.8729665775, 2.23531793289
141;D7;25581;23617;49198;14177;13042;27219;864;8h-9h;995;17h-18h;959;8h-9h;804;18h-19h;Villeneuve la Garenne;Saint-Denis;Villeneuve la Garenne;Asnières;VILLENEUVE-LA-GARENNE;49198 (17);TOURNANT;ANNUELLE;2017;JANVIER;Plots;1326.5631741946354;"{""type"": ""MultiLineString"", ""coordinates"": [[[2.325136459931238, 48.92109655194405], [2.329993301163122, 48.92499692343569]], [[2.329993301163122, 48.92499692343569], [2.331409471276869, 48.9267419019705], [2.331963646828706, 48.92747235161042], [2.332513588669238, 48.92772042417473]], [[2.329993301163122, 48.92499692343569], [2.332517918171277, 48.92731005533358], [2.333133704183747, 48.92799992245877]]]}";48.9249783847, 2.32973628812
142;D104;16633;18323;34956;18927;20539;39466;1608;8h-9h;630;19h-20h;1767;8h-9h;915;19h-20h;Paris;Province;Province;Paris;PUTEAUX;34956 (11);TOURNANT;TRIENNALE;2011;JUIN;TUBES;371.95210648142864;"{""type"": ""LineString"", ""coordinates"": [[2.2463921561207982, 48.87618108918687], [2.246201228048412, 48.8762798049796], [2.245724038866983, 48.87645020084126], [2.244919485704038, 48.87681806411012], [2.244796759266878, 48.8768718937865], [2.244114839553708, 48.87723085854273], [2.244005722016589, 48.877293684729835], [2.243910213607743, 48.87736550908618], [2.242709537975391, 48.87825431228262], [2.242573115033709, 48.87834407797082]]}";48.8771591596, 2.24442447379
