SECTION;RD;TMJA_S1;TMJA_S2;TMJA_S3;TMJO_S1;TMJO_S2;TMJO_S3;T_HPM_S1;HEURE_HPM_S1;T_HPS_S1;HEURE_HPS_S1;T_HPM_S2;HEURE_HPM_S2;T_HPS_S2;HEURE_HPS_S2;SENS1_DE;SENS1_VERS;SENS2_DE;SENS2_VERS;COMMUNE_COMPTEUR;TMJA_AA;TYPE_COMPTAGE;PERIODICITE;ANNEE_COMPTAGE;MOIS_COMPTAGE;TYPE_DU_COMPTEUR;LONGUEUR;geo_shape;geo_point_2d
2490;D986;9751;9328;19079;10960;10316;21276;935;9h-10h;788;17h-18h;577;11h-12h;938;18h-19h;Nanterre;Département 93;Département 93;Nanterre;GENNEVILLIERS;19079 (13);TOURNANT;TRIENNALE;2013;JANVIER;TUBES;140.0652612363063;"{""type"": ""LineString"", ""coordinates"": [[2.304373101323134, 48.933207162792954], [2.303786566231079, 48.933207003464695], [2.302736242356854, 48.93323367095627], [2.302463424772246, 48.93325156653087]]}";48.9332194568, 2.30341798412
2580;D71A;5217;;5217;5467;;5467;344;9h-10h;455;19h-20h;;;;;Malakoff;Clamart;Clamart;Malakoff;CLAMART;5217 (13);TOURNANT;TRIENNALE;2013;SEPTEMBRE;TUBES;239.22492157699307;"{""type"": ""LineString"", ""coordinates"": [[2.270394455114655, 48.81134485448291], [2.270635407586099, 48.811372575359194], [2.271040828545853, 48.81158565692989], [2.272923445809213, 48.812622280848025], [2.272957237189868, 48.812640474286766]]}";48.811949298, 2.27169022877
2640;D986;6301;6711;13012;6588;7046;13634;392;8h-9h;503;18h-19h;499;8h-9h;517;17h-18h;Département 94;Clamart;Clamart;Département 94;ANTONY;13012 (12);TOURNANT;TRIENNALE;2012;NOVEMBRE;TUBES;135.07455933273673;"{""type"": ""LineString"", ""coordinates"": [[2.29096712406086, 48.761334240463036], [2.292775474630637, 48.76111921048543]]}";48.7612267255, 2.29187129935
2710;D911;;7398;7398;;7982;7982;;;;;702;9h-10h;551;19h-20h;Clichy;Gennevilliers;Gennevilliers;Clichy;GENNEVILLIERS;7398 (15);TOURNANT;TRIENNALE;2015;JANVIER;TUBES;358.80411652585235;"{""type"": ""LineString"", ""coordinates"": [[2.2976499267007853, 48.91323610890653], [2.296667472772879, 48.914170435645666], [2.295930509951447, 48.91499699275342], [2.295302811525317, 48.91557194729751], [2.295357304169082, 48.9156348749222], [2.29542546764107, 48.915652872902406], [2.2956162970145613, 48.9157428083994], [2.295793490076782, 48.91583274024456]]}";48.9145931823, 2.29633971779
4;D920;;13835;13835;;13517;13517;;;;;1076;8h-9h;916;18h-19h;Paris;Province;Bourg-la-Reine;Paris;BOURG-LA-REINE;13835 (17);TOURNANT;ANNUELLE;2017;NOVEMBRE;Plots;1214.5676000798594;"{""type"": ""LineString"", ""coordinates"": [[2.318298018342285, 48.78708342592258], [2.318148500679521, 48.78679578790084], [2.318094170032788, 48.786580067606906], [2.318026280461214, 48.78624750250753], [2.317618634460506, 48.785141916343434], [2.31734695460508, 48.78420712215623], [2.31715671420225, 48.7837397148304], [2.316884936580943, 48.783101522802774], [2.3165995853178663, 48.782409399357064], [2.316592411169548, 48.782397876567664], [2.316504439803294, 48.78225658715818], [2.316409322026217, 48.78203187079327], [2.316354961802608, 48.781924005686726], [2.316042423775239, 48.78123187536697], [2.315933727764472, 48.780962215792094], [2.315852233402743, 48.78069256162782], [2.315566903020658, 48.780018409664116], [2.315431040772312, 48.77967684078628], [2.315254396510996, 48.77929931210767], [2.314289838859929, 48.77689932993612], [2.314194709468228, 48.77674651572608], [2.314099609365927, 48.77653078443697]]}";48.7817801606, 2.31627703216
8;D920;14446;;14446;14800;0;14800;874;8h-9h;1223;17h-18h;0;8h-9h;0;18h-19h;Bourg-la-Reine;Antony;Antony;Bourg-la-Reine;BOURG-LA-REINE;14446 (17);TOURNANT;ANNUELLE;2017;NOVEMBRE;Plots;1234.5751528929027;"{""type"": ""LineString"", ""coordinates"": [[2.318148500679521, 48.78679578790084], [2.317509413903204, 48.786247420671806], [2.316992751555825, 48.785708057941896], [2.316816002487152, 48.7855192809518], [2.316707239551062, 48.78539343125208], [2.316448936693832, 48.78506982121016], [2.316122700746697, 48.784566437707326], [2.315524625509966, 48.78363158222552], [2.315171217907035, 48.7831012272181], [2.31481786328341, 48.782463015879244], [2.314736322424536, 48.78231020419014], [2.314709152010291, 48.78223829522936], [2.314274321077233, 48.781330426237304], [2.314152027778948, 48.78107873806398], [2.314056910643081, 48.7808809837538], [2.31367641668107, 48.7801708578073], [2.313662827549538, 48.78014389164805], [2.313581343513895, 48.77988322296655], [2.313540635375952, 48.77967649049497], [2.3134050306291982, 48.77879563754626], [2.313350857943385, 48.778292296593236], [2.313378195090926, 48.77798670934012], [2.313500868376451, 48.77736655837544], [2.3136234406134912, 48.77697110762255], [2.31377316459364, 48.77667453089664], [2.313936375695345, 48.77662962227996], [2.314099609365927, 48.77653078443697]]}";48.7818726073, 2.31497548077
12;D906;10980;13936;24916;11793;15147;26940;757;9h-10h;862;18h-19h;1089;8h-9h;1140;18h-19h;Clamart;Province;Clamart;Châtillon;CLAMART;24916 (06);TOURNANT;TRIENNALE;2006;SEPTEMBRE;TUBES;1938.3359448908961;"{""type"": ""LineString"", ""coordinates"": [[2.283612477051746, 48.80081554304285], [2.282647034297971, 48.80028482205133], [2.2808522573443932, 48.79922341931969], [2.279465411952337, 48.798422834936495], [2.276977379509005, 48.79696556597318], [2.275930542346448, 48.796353856630496], [2.273143607173907, 48.794743556766846], [2.272504673652947, 48.794374707692604], [2.272232808817152, 48.794203789315254], [2.271743440917059, 48.793906920727956], [2.27156670412114, 48.79381694406017], [2.271267682560977, 48.793610057185774], [2.270723843391452, 48.79336708096048], [2.268575719537676, 48.79241314474528], [2.267569618318247, 48.791999117213585], [2.266400382534605, 48.791522067917], [2.265407883281021, 48.791134994027566], [2.264388254953159, 48.79070295474125], [2.264129950569652, 48.79059494106156], [2.263898827482567, 48.79050491972111], [2.262906390901354, 48.79009984816432]]}";48.7951340118, 2.27341877491
16;D989;6394;;6394;6731;;6731;451;9h-10h;568;19h-20h;;;;;Paris;Province;Province;Paris;ISSY-LES-MOULINEAUX;6394 (13);TOURNANT;TRIENNALE;2013;SEPTEMBRE;TUBES;565.1313172265218;"{""type"": ""LineString"", ""coordinates"": [[2.284834487668733, 48.83039480677898], [2.284698463400595, 48.83028689589584], [2.28442639701843, 48.83008904775401], [2.284031851324095, 48.829855193875154], [2.283623741464051, 48.82957639495709], [2.282535378505668, 48.82891980406366], [2.281515098126542, 48.82827222220822], [2.280426750373056, 48.82765156129108], [2.279719330271284, 48.827255766002985], [2.279460862041954, 48.827102851083446], [2.279185768457591, 48.82694877821213]]}";48.8286278648, 2.28203802435
17;D989;6985;;6985;7378;;7378;520;9h-10h;590;19h-20h;;;;;Paris;Province;Province;Paris;ISSY-LES-MOULINEAUX;6985 (13);TOURNANT;TRIENNALE;2013;SEPTEMBRE;TUBES;963.0788561006194;"{""type"": ""LineString"", ""coordinates"": [[2.279185768457591, 48.82694877821213], [2.279025552945405, 48.82684199753017], [2.278481522171504, 48.826428298544954], [2.27833189882177, 48.82632936085295], [2.277855786630916, 48.82605050711658], [2.276672213504578, 48.825456727135524], [2.275556621009284, 48.82495284683393], [2.274985166869607, 48.82474583483707], [2.274364859048498, 48.824516469636414], [2.27378786994177, 48.82429582131203], [2.27340690594179, 48.82416080254635], [2.272835447301657, 48.8239717548756], [2.272563325586624, 48.82388173138908], [2.2722775822903563, 48.82380068730963], [2.270359071704579, 48.823233405022926], [2.270168579548924, 48.8231793720506], [2.269882809589763, 48.823125285913335], [2.267991511356853, 48.822602919382255]]}";48.8244502204, 2.27372933407
18;D989;5688;5665;11353;6029;6034;12063;410;8h-9h;486;18h-19h;365;8h-9h;498;18h-19h;Paris;Meudon;Meudon;Paris;ISSY-LES-MOULINEAUX;11353 (12);TOURNANT;TRIENNALE;2012;SEPTEMBRE;TUBES;862.8842614391525;"{""type"": ""LineString"", ""coordinates"": [[2.260140383759484, 48.820845510404645], [2.2586575342062662, 48.820359207502655], [2.258331013632511, 48.82026911575476], [2.257392316929467, 48.819980884439666], [2.257120228532595, 48.81989981321383], [2.255147628714846, 48.81930528389614], [2.25439943995555, 48.81906209891462], [2.25412736138554, 48.81898102059654], [2.252862210343794, 48.818602648497475], [2.252129293684354, 48.81838234716406], [2.251812187638662, 48.8182715374608], [2.251270641972332, 48.81809820054083], [2.25088973686719, 48.81799007275224], [2.250182222836334, 48.81786373074323], [2.249379290304965, 48.81782719242662]]}";48.8192033819, 2.25478617396
